CLOUD_AMT
71.46
82.41
76.16
77.63
75.46
74.04
53.27
58.92
73.34
74.38
82.7
70.28
62.3
72.49
65.74
77.68
71.42
69.65
49.99
55.55
61.59
76.94
68.55
63.09
83.59
73.76
78.34
82.3
73.32
66.94
71.51
43.72
70.75
59.73
80.52
69.15
77.7
80.53
80.2
77.27
58.24
55.02
68.33
49.9
56.39
56.66
79.27
76.03
75.62
73.23
76.81
76.55
80.3
76.66
63.93
60.91
58.93
72.31
82.88
71.52
78.58
54.48
78.59
69.88
65.32
68.16
66.69
64.66
39.44
68.36
74.88
71.21
77.1
70.52
70.66
70.6
78.8
79.94
50.58
63.8
54.23
79.15
82.07
76.56
65.42
72.9
69.07
64.1
75.44
77.44
58.06
57.09
48.39
61.18
75.69
77.13
78.5
71.21
52.95
78.05
60.98
59.4
60.18
48.38
63.05
80.27
72.31
71.09
56.77
48.07
72.13
79.47
75.58
77.2
73.45
59.38
34.59
62.01
61.24
74.03
73.66
74.02
67.67
76.95
65.73
68.48
43.69
55.84
54.27
63.98
74.93
73.77
66.31
71.09
67.69
67.8
52.7
70.11
64.61
69.37
45.47
70.33
79.02
65.56
76.12
61.61
68.29
83.03
74.36
67.78
44.94
59.68
64.25
68.58
77.75
78.67
71.37
69.07
83.55
66.16
72.73
72.35
62.98
58.09
68.24
73.48
63.34
72.6
80.13
76.71
72.54
68.11
74.79
64.02
53.0
37.95
37.29
72.39
80.06
77.89
81.05
81.3
79.33
59.33
69.41
74.07
52.98
59.57
37.7
53.09
80.36
75.14
66.1
65.67
74.74
67.61
81.26
65.24
59.83
45.02
56.66
64.38
67.26
70.61
80.69
66.15
76.23
75.27
69.62
73.04
46.75
55.5
56.0
74.59
87.83
81.52
90.26
78.02
83.37
64.79
72.49
55.85
47.59
37.98
44.34
54.56
69.96
87.5
75.93
63.58
86.3
86.36
75.04
51.09
34.8
40.35
45.65
79.05
66.88
86.06
92.21
77.56
77.3
48.12
67.08
50.55
42.54
54.56
63.67
67.67
79.11
84.93
83.75
46.7
72.78
72.55
72.09
79.32
46.49
36.13
51.62
81.55
78.14
78.95
91.59
70.16
78.29
73.02
63.94
56.3
45.72
34.68
38.16
57.71
90.63
90.7
76.71
87.3
89.43
79.56
61.85
78.29
55.81
52.37
58.94
78.06
75.96
86.62
83.73
79.16
86.56
80.45
76.28
71.49
44.94
60.38
46.11
72.29
84.56
88.3
76.79
79.05
80.92
69.59
61.13
55.58
40.36
55.59
50.66
73.65
89.37
71.21
93.35
74.23
80.55
83.58
75.8
76.89
34.7
43.48
70.73
65.22
83.23
87.41
85.91
81.03
90.12
77.09
78.31
71.63
60.45
42.22
50.64
74.72
80.77
75.63
86.52
78.03
85.12
81.94
63.1
82.35
51.34
45.05
32.23
66.89
83.53
94.51
80.99
87.97
73.43
72.39
67.91
67.14
23.16
61.8
67.73
61.52
82.38
79.76
74.95
79.83
79.94
75.19
70.95
60.47
40.12
44.14
46.43
83.87
66.88
77.62
79.8
77.62
74.5
65.14
60.82
37.04
43.39
51.51
59.55
76.15
64.02
88.13
78.28
82.12
77.75
68.55
63.11
64.95
55.62
38.72
55.6
83.03
87.76
81.03
73.93
77.78
89.02
82.01
63.16
60.01
30.76
34.68
55.04
54.16
89.42
75.12
89.06
80.28
71.06
77.84
49.73
66.36
30.09
40.76
60.63
55.4
75.13
78.59
