,ALLSKY_KT,CLOUD_AMT,CLRSKY_KT,TOA_SW_DWN
200604,0.46,73.02,0.72,8.97
200605,0.53,63.94,0.73,10.74
200606,0.54,56.3,0.73,11.52
200607,0.59,45.72,0.73,11.08
200608,0.64,34.68,0.73,9.56
200609,0.59,38.16,0.72,7.38
200610,0.51,57.71,0.7,5.05
200611,0.27,90.63,0.66,3.2
200612,0.3,90.7,0.63,2.38
200701,0.38,76.71,0.66,2.82
200702,0.35,87.3,0.68,4.36
200703,0.38,89.43,0.7,6.6
200704,0.46,79.56,0.73,8.95
200705,0.55,61.85,0.73,10.73
200706,0.47,78.29,0.73,11.51
200707,0.55,55.81,0.73,11.09
200708,0.55,52.37,0.72,9.58
200709,0.5,58.94,0.72,7.4
200710,0.39,78.06,0.69,5.07
200711,0.38,75.96,0.66,3.21
200712,0.3,86.62,0.64,2.38
200801,0.36,83.73,0.66,2.81
200802,0.41,79.16,0.68,4.38
200803,0.41,86.56,0.71,6.65
200804,0.47,80.45,0.72,9.0
200805,0.45,76.28,0.71,10.76
200806,0.48,71.49,0.73,11.52
200807,0.59,44.94,0.72,11.07
200808,0.52,60.38,0.71,9.53
200809,0.57,46.11,0.7,7.34
200810,0.44,72.29,0.68,5.01
200811,0.34,84.56,0.64,3.17
200812,0.31,88.3,0.64,2.37
200901,0.4,76.79,0.67,2.84
200902,0.45,79.05,0.7,4.4
200903,0.45,80.92,0.72,6.64
200904,0.54,69.59,0.73,8.98
200905,0.55,61.13,0.73,10.75
200906,0.57,55.58,0.72,11.52
200907,0.6,40.36,0.71,11.07
200908,0.55,55.59,0.7,9.55
200909,0.57,50.66,0.71,7.36
200910,0.45,73.65,0.69,5.03
200911,0.31,89.37,0.65,3.18
200912,0.43,71.21,0.66,2.38
201001,0.32,93.35,0.63,2.83
201002,0.44,74.23,0.68,4.38
201003,0.46,80.55,0.7,6.62
201004,0.46,83.58,0.72,8.97
201005,0.48,75.8,0.73,10.74
201006,0.48,76.89,0.73,11.52
201007,0.63,34.7,0.74,11.08
201008,0.57,43.48,0.7,9.56
201009,0.46,70.73,0.7,7.38
201010,0.48,65.22,0.69,5.05
201011,0.34,83.23,0.66,3.2
201012,0.34,87.41,0.64,2.38
201101,0.33,85.91,0.65,2.82
201102,0.4,81.03,0.7,4.37
201103,0.38,90.12,0.71,6.6
201104,0.45,77.09,0.73,8.95
201105,0.45,78.31,0.72,10.74
201106,0.48,71.63,0.72,11.52
201107,0.52,60.45,0.72,11.09
201108,0.6,42.22,0.72,9.58
201109,0.55,50.64,0.71,7.4
201110,0.42,74.72,0.69,5.07
201111,0.38,80.77,0.66,3.21
201112,0.37,75.63,0.65,2.38
201201,0.3,86.52,0.65,2.82
201202,0.39,78.03,0.69,4.39
201203,0.4,85.12,0.72,6.66
201204,0.45,81.94,0.72,9.01
201205,0.53,63.1,0.73,10.77
201206,0.42,82.35,0.72,11.52
201207,0.55,51.34,0.72,11.07
201208,0.59,45.05,0.72,9.53
201209,0.63,32.23,0.71,7.35
201210,0.43,66.89,0.7,5.01
201211,0.34,83.53,0.66,3.17
201212,0.26,94.51,0.63,2.38
201301,0.36,80.99,0.66,2.84
201302,0.35,87.97,0.67,4.4
201303,0.45,73.43,0.7,6.64
201304,0.45,72.39,0.73,8.99
201305,0.49,67.91,0.73,10.76
201306,0.52,67.14,0.73,11.52
201307,0.68,23.16,0.73,11.08
201308,0.53,61.8,0.71,9.55
201309,0.46,67.73,0.7,7.36
201310,0.51,61.52,0.7,5.03
201311,0.39,82.38,0.66,3.18
201312,0.36,79.76,0.65,2.38
201401,0.37,74.95,0.65,2.83
201402,0.44,79.83,0.7,4.38
201403,0.43,79.94,0.71,6.62
201404,0.5,75.19,0.73,8.97
201405,0.52,70.95,0.72,10.75
201406,0.54,60.47,0.73,11.52
201407,0.6,40.12,0.73,11.09
201408,0.58,44.14,0.7,9.56
201409,0.56,46.43,0.71,7.38
201410,0.39,83.87,0.68,5.04
201411,0.45,66.88,0.67,3.2
201412,0.38,77.62,0.64,2.38
201501,0.37,79.8,0.65,2.83
201502,0.41,77.62,0.68,4.37
201503,0.47,74.5,0.7,6.61
201504,0.52,65.14,0.73,8.96
201505,0.55,60.82,0.72,10.74
201506,0.64,37.04,0.73,11.52
201507,0.59,43.39,0.71,11.1
201508,0.57,51.51,0.71,9.58
201509,0.52,59.55,0.71,7.4
201510,0.42,76.15,0.67,5.06
201511,0.42,64.02,0.68,3.21
