,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.4952751858888309,2022-03-13 18:46:19.455499,2022-03-13 18:46:34.011916,0 days 00:00:14.556417,1,3,3,1,1,4,COMPLETE
1,1,0.48935111067404113,2022-03-13 18:46:34.013120,2022-03-13 18:46:42.766717,0 days 00:00:08.753597,0,3,2,1,1,3,COMPLETE
2,2,0.5236127988558423,2022-03-13 18:46:42.767906,2022-03-13 18:46:44.817633,0 days 00:00:02.049727,1,3,0,0,1,7,COMPLETE
3,3,0.5763078755926416,2022-03-13 18:46:44.818649,2022-03-13 18:46:46.545512,0 days 00:00:01.726863,0,3,1,0,2,1,COMPLETE
4,4,0.5770507101291951,2022-03-13 18:46:46.546705,2022-03-13 18:46:56.470007,0 days 00:00:09.923302,0,3,3,0,3,5,COMPLETE
5,5,0.42408775043103597,2022-03-13 18:46:56.471098,2022-03-13 18:47:01.101892,0 days 00:00:04.630794,0,2,0,1,6,4,COMPLETE
6,6,0.5754932655755974,2022-03-13 18:47:01.102939,2022-03-13 18:47:07.637620,0 days 00:00:06.534681,0,1,3,0,1,6,COMPLETE
7,7,0.34175604372975976,2022-03-13 18:47:07.638906,2022-03-13 18:47:08.260128,0 days 00:00:00.621222,1,1,0,0,1,8,COMPLETE
8,8,0.6258949208991391,2022-03-13 18:47:08.261298,2022-03-13 18:47:09.845968,0 days 00:00:01.584670,1,2,3,0,0,0,COMPLETE
9,9,0.6592732277769164,2022-03-13 18:47:09.847669,2022-03-13 18:47:29.311357,0 days 00:00:19.463688,1,0,3,0,3,8,COMPLETE
10,10,0.5135505040906012,2022-03-13 18:47:29.312355,2022-03-13 18:47:47.291545,0 days 00:00:17.979190,1,0,2,1,5,8,COMPLETE
11,11,0.6516264891848496,2022-03-13 18:47:47.293267,2022-03-13 18:47:50.430044,0 days 00:00:03.136777,1,0,2,0,8,0,COMPLETE
12,12,0.6623390268882541,2022-03-13 18:47:50.431329,2022-03-13 18:47:58.934507,0 days 00:00:08.503178,1,0,2,0,8,2,COMPLETE
13,13,0.6615334971081395,2022-03-13 18:47:58.935868,2022-03-13 18:48:03.673979,0 days 00:00:04.738111,1,0,1,0,8,2,COMPLETE
14,14,0.6430606601561748,2022-03-13 18:48:03.675096,2022-03-13 18:48:07.361385,0 days 00:00:03.686289,1,1,1,0,8,2,COMPLETE
15,15,0.645114990226012,2022-03-13 18:48:07.362516,2022-03-13 18:48:09.370919,0 days 00:00:02.008403,1,0,1,0,7,2,COMPLETE
16,16,0.6408474633035981,2022-03-13 18:48:09.371918,2022-03-13 18:48:12.294416,0 days 00:00:02.922498,1,1,1,0,6,2,COMPLETE
17,17,0.5068319223605966,2022-03-13 18:48:12.295374,2022-03-13 18:48:20.431727,0 days 00:00:08.136353,1,0,2,1,7,3,COMPLETE
18,18,0.6465909262746112,2022-03-13 18:48:20.432744,2022-03-13 18:48:21.750764,0 days 00:00:01.318020,1,0,1,0,5,1,COMPLETE
19,19,0.6561912568388937,2022-03-13 18:48:21.751887,2022-03-13 18:48:30.081090,0 days 00:00:08.329203,1,2,2,0,8,3,COMPLETE
20,20,0.49655521273810443,2022-03-13 18:48:30.082559,2022-03-13 18:48:34.253324,0 days 00:00:04.170765,0,1,1,1,7,1,COMPLETE
