,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.4925980182282894,2022-03-13 20:10:46.002869,2022-03-13 20:10:51.971533,0 days 00:00:05.968664,1,3,1,0,1,4,COMPLETE
1,1,0.466975778773568,2022-03-13 20:10:51.972601,2022-03-13 20:10:54.823090,0 days 00:00:02.850489,0,3,2,0,5,0,COMPLETE
2,2,0.14904879553295447,2022-03-13 20:10:54.824086,2022-03-13 20:11:01.747941,0 days 00:00:06.923855,1,0,0,1,5,7,COMPLETE
3,3,0.5361264344771821,2022-03-13 20:11:01.749114,2022-03-13 20:11:07.634519,0 days 00:00:05.885405,1,1,3,0,7,1,COMPLETE
4,4,0.22020178342593688,2022-03-13 20:11:07.635589,2022-03-13 20:11:20.762471,0 days 00:00:13.126882,1,2,0,1,8,7,COMPLETE
5,5,0.539573789697877,2022-03-13 20:11:20.763633,2022-03-13 20:11:35.127204,0 days 00:00:14.363571,1,2,2,0,3,3,COMPLETE
6,6,0.5203385036028132,2022-03-13 20:11:35.128471,2022-03-13 20:11:51.043542,0 days 00:00:15.915071,1,2,2,0,3,5,COMPLETE
7,7,-3.6786248928636036,2022-03-13 20:11:51.044528,2022-03-13 20:11:51.594501,0 days 00:00:00.549973,1,3,0,1,0,0,COMPLETE
8,8,0.37650555118186424,2022-03-13 20:11:51.595494,2022-03-13 20:12:01.309445,0 days 00:00:09.713951,1,2,2,1,1,2,COMPLETE
9,9,0.12889472083705278,2022-03-13 20:12:01.310581,2022-03-13 20:12:11.157585,0 days 00:00:09.847004,0,1,0,0,6,4,COMPLETE
10,10,0.00503391349689275,2022-03-13 20:12:11.158694,2022-03-13 20:12:20.573256,0 days 00:00:09.414562,0,0,3,0,3,3,COMPLETE
11,11,0.5510449478465795,2022-03-13 20:12:20.574405,2022-03-13 20:12:35.300006,0 days 00:00:14.725601,1,1,3,0,8,2,COMPLETE
12,12,0.5358880409795538,2022-03-13 20:12:35.301160,2022-03-13 20:12:42.252427,0 days 00:00:06.951267,1,1,3,0,3,2,COMPLETE
13,13,0.5115214496755975,2022-03-13 20:12:42.253456,2022-03-13 20:13:16.908529,0 days 00:00:34.655073,1,1,1,0,8,5,COMPLETE
