,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,-4.1029270020992753e+18,2022-03-13 19:17:29.409237,2022-03-13 19:17:30.561672,0 days 00:00:01.152435,0,0,1,0,3,2,COMPLETE
1,1,0.05829613887474838,2022-03-13 19:17:30.562575,2022-03-13 19:17:31.612937,0 days 00:00:01.050362,0,2,0,1,5,0,COMPLETE
2,2,0.7217082929592544,2022-03-13 19:17:31.614340,2022-03-13 19:17:56.757234,0 days 00:00:25.142894,0,3,2,1,7,6,COMPLETE
3,3,0.7127870894524553,2022-03-13 19:17:56.758359,2022-03-13 19:18:03.597008,0 days 00:00:06.838649,0,1,2,1,1,6,COMPLETE
4,4,0.3826591716132911,2022-03-13 19:18:03.598165,2022-03-13 19:18:16.887358,0 days 00:00:13.289193,0,0,3,1,0,7,COMPLETE
5,5,0.719786867345255,2022-03-13 19:18:16.888421,2022-03-13 19:18:19.334076,0 days 00:00:02.445655,0,2,2,1,1,2,COMPLETE
6,6,-6.160629583760164,2022-03-13 19:18:19.335080,2022-03-13 19:18:19.892119,0 days 00:00:00.557039,0,0,2,1,1,0,COMPLETE
7,7,0.7414817492644561,2022-03-13 19:18:19.893297,2022-03-13 19:18:33.316979,0 days 00:00:13.423682,1,2,2,1,3,7,COMPLETE
8,8,0.7059541771056697,2022-03-13 19:18:33.318272,2022-03-13 19:18:41.477081,0 days 00:00:08.158809,0,3,0,1,6,5,COMPLETE
9,9,0.5663045682688416,2022-03-13 19:18:41.478599,2022-03-13 19:18:50.606258,0 days 00:00:09.127659,0,1,0,1,5,3,COMPLETE
10,10,0.7634365657762806,2022-03-13 19:18:50.607218,2022-03-13 19:19:06.111546,0 days 00:00:15.504328,1,2,3,0,3,7,COMPLETE
11,11,0.7625331281352167,2022-03-13 19:19:06.112797,2022-03-13 19:19:13.822359,0 days 00:00:07.709562,1,2,3,0,3,8,COMPLETE
12,12,0.7625331281352167,2022-03-13 19:19:13.824206,2022-03-13 19:19:23.119134,0 days 00:00:09.294928,1,2,3,0,3,8,COMPLETE
13,13,0.7623287520991111,2022-03-13 19:19:23.120462,2022-03-13 19:19:37.555853,0 days 00:00:14.435391,1,3,3,0,4,8,COMPLETE
14,14,0.7514759907710371,2022-03-13 19:19:37.557413,2022-03-13 19:19:55.449384,0 days 00:00:17.891971,1,1,3,0,2,5,COMPLETE
15,15,0.7534230518046215,2022-03-13 19:19:55.450741,2022-03-13 19:20:13.117850,0 days 00:00:17.667109,1,2,1,0,8,8,COMPLETE
16,16,0.7618898845575771,2022-03-13 19:20:13.119259,2022-03-13 19:20:41.214943,0 days 00:00:28.095684,1,1,3,0,4,6,COMPLETE
17,17,0.754920173166681,2022-03-13 19:20:41.216557,2022-03-13 19:20:59.666172,0 days 00:00:18.449615,1,3,3,0,2,4,COMPLETE
18,18,0.7578238675534783,2022-03-13 19:20:59.667681,2022-03-13 19:21:07.959746,0 days 00:00:08.292065,1,2,1,0,5,7,COMPLETE
19,19,0.7514759907710371,2022-03-13 19:21:07.961077,2022-03-13 19:21:24.274757,0 days 00:00:16.313680,1,1,3,0,2,5,COMPLETE
20,20,0.7594019708863035,2022-03-13 19:21:24.275832,2022-03-13 19:21:38.070922,0 days 00:00:13.795090,1,3,2,0,4,8,COMPLETE
21,21,0.7625331281352167,2022-03-13 19:21:38.072178,2022-03-13 19:21:45.584652,0 days 00:00:07.512474,1,2,3,0,3,8,COMPLETE
22,22,0.7634365657762806,2022-03-13 19:21:45.585893,2022-03-13 19:22:00.589818,0 days 00:00:15.003925,1,2,3,0,3,7,COMPLETE
23,23,0.7618048136983575,2022-03-13 19:22:00.590842,2022-03-13 19:22:14.086249,0 days 00:00:13.495407,1,2,3,0,2,7,COMPLETE
24,24,0.7615741206053162,2022-03-13 19:22:14.087287,2022-03-13 19:22:40.805090,0 days 00:00:26.717803,1,2,3,0,3,6,COMPLETE
25,25,0.759425219233631,2022-03-13 19:22:40.806565,2022-03-13 19:22:44.218684,0 days 00:00:03.412119,1,1,2,0,0,7,COMPLETE
26,26,0.7498577775383696,2022-03-13 19:22:44.219888,2022-03-13 19:23:01.368193,0 days 00:00:17.148305,1,2,3,0,6,4,COMPLETE
27,27,0.7618830113435883,2022-03-13 19:23:01.369322,2022-03-13 19:23:12.112053,0 days 00:00:10.742731,1,3,2,0,4,7,COMPLETE
28,28,0.764596423947675,2022-03-13 19:23:12.113103,2022-03-13 19:23:35.364270,0 days 00:00:23.251167,1,2,3,0,2,6,COMPLETE
29,29,0.7591973521582506,2022-03-13 19:23:35.365403,2022-03-13 19:23:37.283781,0 days 00:00:01.918378,1,1,1,0,1,5,COMPLETE
30,30,0.7650451703924934,2022-03-13 19:23:37.285167,2022-03-13 19:24:07.433472,0 days 00:00:30.148305,1,3,3,0,2,6,COMPLETE
31,31,0.7650451703924934,2022-03-13 19:24:07.435494,2022-03-13 19:24:36.689287,0 days 00:00:29.253793,1,3,3,0,2,6,COMPLETE
32,32,0.7650451703924934,2022-03-13 19:24:36.690704,2022-03-13 19:25:04.805221,0 days 00:00:28.114517,1,3,3,0,2,6,COMPLETE
33,33,0.7650451703924934,2022-03-13 19:25:04.806980,2022-03-13 19:25:34.288580,0 days 00:00:29.481600,1,3,3,0,2,6,COMPLETE
34,34,0.759709498636544,2022-03-13 19:25:34.289747,2022-03-13 19:25:39.349088,0 days 00:00:05.059341,1,3,2,0,0,6,COMPLETE
35,35,0.7629079047507321,2022-03-13 19:25:39.350725,2022-03-13 19:25:47.509675,0 days 00:00:08.158950,1,3,3,0,1,5,COMPLETE
