,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.5017419952314208,2022-03-13 15:51:42.912035,2022-03-13 15:52:02.439914,0 days 00:00:19.527879,1,2,1,1,7,4,COMPLETE
1,1,0.329611801925244,2022-03-13 15:52:02.441092,2022-03-13 15:52:03.221604,0 days 00:00:00.780512,0,3,0,0,4,0,COMPLETE
2,2,0.4308291445686512,2022-03-13 15:52:03.222989,2022-03-13 15:52:13.954821,0 days 00:00:10.731832,0,2,2,1,8,4,COMPLETE
3,3,0.48562315756964913,2022-03-13 15:52:13.955806,2022-03-13 15:52:56.137089,0 days 00:00:42.181283,1,2,3,1,3,8,COMPLETE
4,4,0.35709621474623876,2022-03-13 15:52:56.138184,2022-03-13 15:53:02.371730,0 days 00:00:06.233546,0,2,3,1,7,0,COMPLETE
5,5,0.286864462984204,2022-03-13 15:53:02.372735,2022-03-13 15:53:19.400796,0 days 00:00:17.028061,0,0,3,0,4,7,COMPLETE
6,6,0.3272733063787431,2022-03-13 15:53:19.402109,2022-03-13 15:53:21.401836,0 days 00:00:01.999727,0,3,0,0,4,5,COMPLETE
7,7,0.42167204509862977,2022-03-13 15:53:21.403146,2022-03-13 15:53:23.590378,0 days 00:00:02.187232,0,0,0,1,3,7,COMPLETE
8,8,0.5306013895018218,2022-03-13 15:53:23.591289,2022-03-13 15:53:26.955863,0 days 00:00:03.364574,1,0,3,0,3,2,COMPLETE
9,9,0.24456846719245706,2022-03-13 15:53:26.957135,2022-03-13 15:53:28.697277,0 days 00:00:01.740142,1,1,0,0,2,5,COMPLETE
10,10,0.5286873040311402,2022-03-13 15:53:28.698268,2022-03-13 15:53:30.194121,0 days 00:00:01.495853,1,1,2,0,0,2,COMPLETE
11,11,0.5286873040311402,2022-03-13 15:53:30.195188,2022-03-13 15:53:31.652019,0 days 00:00:01.456831,1,1,2,0,0,2,COMPLETE
12,12,0.5399922073046931,2022-03-13 15:53:31.653427,2022-03-13 15:53:33.023130,0 days 00:00:01.369703,1,0,2,0,0,2,COMPLETE
13,13,0.5472134576863034,2022-03-13 15:53:33.024253,2022-03-13 15:53:33.897834,0 days 00:00:00.873581,1,0,1,0,1,2,COMPLETE
14,14,0.5159114121523354,2022-03-13 15:53:33.898966,2022-03-13 15:53:34.342690,0 days 00:00:00.443724,1,0,1,0,1,1,COMPLETE
15,15,0.5469851483186983,2022-03-13 15:53:34.343883,2022-03-13 15:53:35.325289,0 days 00:00:00.981406,1,0,1,0,1,3,COMPLETE
16,16,0.5288729943599649,2022-03-13 15:53:35.326486,2022-03-13 15:53:36.824232,0 days 00:00:01.497746,1,1,1,0,1,3,COMPLETE
17,17,0.5411931888498667,2022-03-13 15:53:36.825217,2022-03-13 15:53:37.982289,0 days 00:00:01.157072,1,0,1,0,2,3,COMPLETE
18,18,0.5331278081764175,2022-03-13 15:53:37.983473,2022-03-13 15:53:45.779391,0 days 00:00:07.795918,1,1,1,0,5,5,COMPLETE
19,19,0.5159114121523354,2022-03-13 15:53:45.780565,2022-03-13 15:53:46.230896,0 days 00:00:00.450331,1,0,1,0,1,1,COMPLETE
20,20,0.4759259733557415,2022-03-13 15:53:46.231878,2022-03-13 15:53:50.927668,0 days 00:00:04.695790,1,1,2,1,2,4,COMPLETE
21,21,0.5411931888498667,2022-03-13 15:53:50.928729,2022-03-13 15:53:52.082252,0 days 00:00:01.153523,1,0,1,0,2,3,COMPLETE
22,22,0.5469851483186983,2022-03-13 15:53:52.083790,2022-03-13 15:53:53.034451,0 days 00:00:00.950661,1,0,1,0,1,3,COMPLETE
23,23,0.5159114121523354,2022-03-13 15:53:53.035694,2022-03-13 15:53:53.484718,0 days 00:00:00.449024,1,0,1,0,1,1,COMPLETE
24,24,0.14858909466718573,2022-03-13 15:53:53.485939,2022-03-13 15:53:53.617533,0 days 00:00:00.131594,1,0,0,0,0,3,COMPLETE
25,25,0.5183293237363185,2022-03-13 15:53:53.618498,2022-03-13 15:53:59.150670,0 days 00:00:05.532172,1,1,1,0,5,6,COMPLETE
26,26,0.5399059108037028,2022-03-13 15:53:59.151788,2022-03-13 15:54:00.753357,0 days 00:00:01.601569,1,0,2,0,1,3,COMPLETE
27,27,0.5105719729579852,2022-03-13 15:54:00.754484,2022-03-13 15:54:01.986361,0 days 00:00:01.231877,1,1,1,0,2,1,COMPLETE
28,28,0.06187496421680916,2022-03-13 15:54:01.987567,2022-03-13 15:54:02.668565,0 days 00:00:00.680998,1,0,0,0,3,2,COMPLETE
29,29,0.5260946101149675,2022-03-13 15:54:02.669541,2022-03-13 15:54:09.328630,0 days 00:00:06.659089,1,0,1,1,6,4,COMPLETE
30,30,0.5296614540149365,2022-03-13 15:54:09.330081,2022-03-13 15:54:11.327064,0 days 00:00:01.996983,1,1,2,0,0,4,COMPLETE
31,31,0.5411931888498667,2022-03-13 15:54:11.328574,2022-03-13 15:54:12.466090,0 days 00:00:01.137516,1,0,1,0,2,3,COMPLETE
32,32,0.5469851483186983,2022-03-13 15:54:12.467562,2022-03-13 15:54:13.441324,0 days 00:00:00.973762,1,0,1,0,1,3,COMPLETE
33,33,0.5472134576863034,2022-03-13 15:54:13.442395,2022-03-13 15:54:14.303133,0 days 00:00:00.860738,1,0,1,0,1,2,COMPLETE
34,34,0.43493958080466655,2022-03-13 15:54:14.304110,2022-03-13 15:54:15.519732,0 days 00:00:01.215622,1,3,0,0,1,2,COMPLETE
35,35,-19.84499575640701,2022-03-13 15:54:15.520980,2022-03-13 15:54:15.870831,0 days 00:00:00.349851,0,0,1,0,0,1,COMPLETE
36,36,0.38962321052628657,2022-03-13 15:54:15.871817,2022-03-13 15:54:22.305154,0 days 00:00:06.433337,1,2,1,1,8,0,COMPLETE
37,37,-2.903595856689324e+29,2022-03-13 15:54:22.306172,2022-03-13 15:54:22.995389,0 days 00:00:00.689217,0,0,0,0,3,4,COMPLETE
38,38,0.5402902487326258,2022-03-13 15:54:22.996296,2022-03-13 15:54:24.515807,0 days 00:00:01.519511,1,0,2,0,1,2,COMPLETE
39,39,-0.0696396003269828,2022-03-13 15:54:24.516986,2022-03-13 15:54:28.571785,0 days 00:00:04.054799,0,3,1,1,3,0,COMPLETE
40,40,0.3522860045396784,2022-03-13 15:54:28.572780,2022-03-13 15:54:31.690509,0 days 00:00:03.117729,1,2,0,0,2,5,COMPLETE
41,41,0.5469851483186983,2022-03-13 15:54:31.691640,2022-03-13 15:54:32.677403,0 days 00:00:00.985763,1,0,1,0,1,3,COMPLETE
42,42,0.5469851483186983,2022-03-13 15:54:32.678654,2022-03-13 15:54:33.623646,0 days 00:00:00.944992,1,0,1,0,1,3,COMPLETE
43,43,0.5465518331888843,2022-03-13 15:54:33.625152,2022-03-13 15:54:34.351183,0 days 00:00:00.726031,1,0,1,0,0,2,COMPLETE
44,44,0.5361856014123232,2022-03-13 15:54:34.352607,2022-03-13 15:54:35.298404,0 days 00:00:00.945797,1,0,1,0,2,2,COMPLETE
45,45,0.5303703026167598,2022-03-13 15:54:35.299594,2022-03-13 15:54:36.655893,0 days 00:00:01.356299,1,1,1,0,0,4,COMPLETE
46,46,0.530739900145948,2022-03-13 15:54:36.657350,2022-03-13 15:54:41.328429,0 days 00:00:04.671079,1,0,2,0,1,8,COMPLETE
47,47,0.5411931888498667,2022-03-13 15:54:41.329727,2022-03-13 15:54:42.476364,0 days 00:00:01.146637,1,0,1,0,2,3,COMPLETE
48,48,0.2480588566433901,2022-03-13 15:54:42.477539,2022-03-13 15:54:45.005628,0 days 00:00:02.528089,1,1,0,0,7,1,COMPLETE
49,49,-1.9917401680090504e+16,2022-03-13 15:54:45.006951,2022-03-13 15:54:45.605570,0 days 00:00:00.598619,0,0,1,0,4,2,COMPLETE
