,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.06456422736992207,2022-03-13 18:09:23.960044,2022-03-13 18:09:25.708805,0 days 00:00:01.748761,0,0,1,1,1,4,COMPLETE
1,1,0.6132471834059275,2022-03-13 18:09:25.709874,2022-03-13 18:09:32.980544,0 days 00:00:07.270670,1,1,1,0,5,3,COMPLETE
2,2,0.34724329769544593,2022-03-13 18:09:32.981623,2022-03-13 18:09:34.316524,0 days 00:00:01.334901,1,2,0,1,0,2,COMPLETE
3,3,0.5209877770911651,2022-03-13 18:09:34.317528,2022-03-13 18:09:35.959062,0 days 00:00:01.641534,1,3,0,0,5,0,COMPLETE
4,4,0.03780774010338506,2022-03-13 18:09:35.960180,2022-03-13 18:09:38.715149,0 days 00:00:02.754969,1,3,1,1,1,0,COMPLETE
5,5,0.33062701734765065,2022-03-13 18:09:38.716290,2022-03-13 18:09:39.188936,0 days 00:00:00.472646,1,1,0,0,1,6,COMPLETE
6,6,0.24947283826887545,2022-03-13 18:09:39.190052,2022-03-13 18:09:41.284918,0 days 00:00:02.094866,1,1,0,1,0,5,COMPLETE
7,7,0.2511295322381196,2022-03-13 18:09:41.285980,2022-03-13 18:09:58.275718,0 days 00:00:16.989738,1,1,0,1,8,8,COMPLETE
8,8,0.4881408516287742,2022-03-13 18:09:58.276821,2022-03-13 18:10:06.341243,0 days 00:00:08.064422,1,3,1,1,3,1,COMPLETE
9,9,0.5208035752914084,2022-03-13 18:10:06.342381,2022-03-13 18:10:07.869392,0 days 00:00:01.527011,1,3,0,0,1,4,COMPLETE
10,10,-1.1346831461959658e+151,2022-03-13 18:10:07.870600,2022-03-13 18:10:14.169831,0 days 00:00:06.299231,0,0,3,0,6,3,COMPLETE
11,11,0.5876633386355625,2022-03-13 18:10:14.171242,2022-03-13 18:10:16.460584,0 days 00:00:02.289342,0,2,2,0,5,0,COMPLETE
12,12,0.5302563140367171,2022-03-13 18:10:16.461883,2022-03-13 18:10:22.068990,0 days 00:00:05.607107,0,2,2,0,4,2,COMPLETE
13,13,0.5892136737374158,2022-03-13 18:10:22.070007,2022-03-13 18:10:38.937299,0 days 00:00:16.867292,0,2,2,0,7,6,COMPLETE
14,14,0.5829645867625107,2022-03-13 18:10:38.938445,2022-03-13 18:11:24.400319,0 days 00:00:45.461874,0,1,3,0,8,7,COMPLETE
15,15,0.5892136737374158,2022-03-13 18:11:24.401458,2022-03-13 18:11:41.277476,0 days 00:00:16.876018,0,2,2,0,7,6,COMPLETE
16,16,0.051015157269881706,2022-03-13 18:11:41.278565,2022-03-13 18:11:51.940792,0 days 00:00:10.662227,0,0,2,0,6,5,COMPLETE
17,17,0.5874789680403201,2022-03-13 18:11:51.941779,2022-03-13 18:12:03.923549,0 days 00:00:11.981770,0,1,1,0,4,8,COMPLETE
18,18,0.5039088336160888,2022-03-13 18:12:03.924829,2022-03-13 18:12:26.689877,0 days 00:00:22.765048,0,2,3,0,7,3,COMPLETE
19,19,0.6366723450534941,2022-03-13 18:12:26.691152,2022-03-13 18:12:30.690991,0 days 00:00:03.999839,1,1,2,0,3,6,COMPLETE
20,20,0.6379145156378517,2022-03-13 18:12:30.692011,2022-03-13 18:12:36.414586,0 days 00:00:05.722575,1,0,1,0,3,5,COMPLETE
21,21,0.6379145156378517,2022-03-13 18:12:36.415760,2022-03-13 18:12:42.265358,0 days 00:00:05.849598,1,0,1,0,3,5,COMPLETE
22,22,0.6379145156378517,2022-03-13 18:12:42.266809,2022-03-13 18:12:48.051877,0 days 00:00:05.785068,1,0,1,0,3,5,COMPLETE
