,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.4990151198524364,2022-03-13 15:47:04.622759,2022-03-13 15:47:05.995116,0 days 00:00:01.372357,1,2,1,0,0,1,COMPLETE
1,1,0.5502236474843929,2022-03-13 15:47:05.996312,2022-03-13 15:47:11.839300,0 days 00:00:05.842988,1,0,1,1,0,7,COMPLETE
2,2,0.5263879222076656,2022-03-13 15:47:11.840450,2022-03-13 15:47:22.630627,0 days 00:00:10.790177,1,0,2,1,5,8,COMPLETE
3,3,0.42203980826836396,2022-03-13 15:47:22.631795,2022-03-13 15:47:44.408040,0 days 00:00:21.776245,1,0,2,1,7,3,COMPLETE
4,4,0.4224464492293978,2022-03-13 15:47:44.409220,2022-03-13 15:47:55.242564,0 days 00:00:10.833344,1,0,1,0,7,8,COMPLETE
5,5,0.5227801535435326,2022-03-13 15:47:55.243763,2022-03-13 15:47:58.459551,0 days 00:00:03.215788,1,1,1,0,7,1,COMPLETE
6,6,0.535059525863945,2022-03-13 15:47:58.460591,2022-03-13 15:48:03.976157,0 days 00:00:05.515566,1,0,1,1,0,5,COMPLETE
7,7,0.32840221251536506,2022-03-13 15:48:03.977216,2022-03-13 15:48:50.971729,0 days 00:00:46.994513,0,1,2,0,8,4,COMPLETE
8,8,0.538258813673782,2022-03-13 15:48:50.972845,2022-03-13 15:48:54.183349,0 days 00:00:03.210504,0,3,3,0,5,1,COMPLETE
9,9,0.524176001554618,2022-03-13 15:48:54.184722,2022-03-13 15:49:15.758828,0 days 00:00:21.574106,1,2,2,0,4,5,COMPLETE
10,10,0.39327799652145534,2022-03-13 15:49:15.759816,2022-03-13 15:49:17.320217,0 days 00:00:01.560401,0,1,0,1,2,7,COMPLETE
11,11,0.12279220369944688,2022-03-13 15:49:17.321269,2022-03-13 15:49:21.309188,0 days 00:00:03.987919,0,3,3,1,4,0,COMPLETE
12,12,0.5213169310117199,2022-03-13 15:49:21.310424,2022-03-13 15:49:26.651344,0 days 00:00:05.340920,0,3,3,0,3,3,COMPLETE
13,13,0.4354561356327381,2022-03-13 15:49:26.652452,2022-03-13 15:49:33.646226,0 days 00:00:06.993774,0,2,0,1,2,6,COMPLETE
14,14,0.4376836933389332,2022-03-13 15:49:33.647712,2022-03-13 15:49:41.365601,0 days 00:00:07.717889,0,3,3,1,5,2,COMPLETE
15,15,0.19655438435529005,2022-03-13 15:49:41.366980,2022-03-13 15:49:45.936356,0 days 00:00:04.569376,0,2,0,0,2,6,COMPLETE
16,16,0.5389256186037348,2022-03-13 15:49:45.937714,2022-03-13 15:49:48.930146,0 days 00:00:02.992432,0,1,3,0,5,0,COMPLETE
17,17,0.5115010989928895,2022-03-13 15:49:48.931595,2022-03-13 15:49:55.023291,0 days 00:00:06.091696,1,1,2,1,1,4,COMPLETE
18,18,-3.256777770666069,2022-03-13 15:49:55.024515,2022-03-13 15:49:55.270863,0 days 00:00:00.246348,0,0,1,1,3,0,COMPLETE
19,19,0.19304490953497333,2022-03-13 15:49:55.271835,2022-03-13 15:49:59.953558,0 days 00:00:04.681723,1,1,0,0,6,7,COMPLETE
20,20,0.21825412224656549,2022-03-13 15:49:59.954685,2022-03-13 15:50:03.387489,0 days 00:00:03.432804,0,0,3,0,1,2,COMPLETE
21,21,0.5393996841255433,2022-03-13 15:50:03.388990,2022-03-13 15:50:06.896920,0 days 00:00:03.507930,0,1,3,0,5,1,COMPLETE
22,22,0.5401432570409306,2022-03-13 15:50:06.897963,2022-03-13 15:50:10.230487,0 days 00:00:03.332524,0,1,3,0,6,0,COMPLETE
23,23,0.5611688807817153,2022-03-13 15:50:10.231992,2022-03-13 15:50:12.608102,0 days 00:00:02.376110,0,1,2,0,6,2,COMPLETE
24,24,0.5611688807817153,2022-03-13 15:50:12.609129,2022-03-13 15:50:15.000393,0 days 00:00:02.391264,0,1,2,0,6,2,COMPLETE
25,25,-76.99769537867685,2022-03-13 15:50:15.001735,2022-03-13 15:50:19.647420,0 days 00:00:04.645685,0,0,2,0,8,3,COMPLETE
26,26,0.5244192386864198,2022-03-13 15:50:19.648465,2022-03-13 15:50:26.608925,0 days 00:00:06.960460,1,2,2,1,6,2,COMPLETE
27,27,-2.32625418469064e+25,2022-03-13 15:50:26.609982,2022-03-13 15:50:56.870908,0 days 00:00:30.260926,0,1,1,0,6,4,COMPLETE
28,28,0.5339379280907106,2022-03-13 15:50:56.872273,2022-03-13 15:51:02.593213,0 days 00:00:05.720940,1,0,2,1,3,2,COMPLETE
29,29,0.47186672910383987,2022-03-13 15:51:02.594221,2022-03-13 15:51:03.781402,0 days 00:00:01.187181,0,2,1,0,0,3,COMPLETE
30,30,0.5167698019259142,2022-03-13 15:51:03.782541,2022-03-13 15:51:34.526899,0 days 00:00:30.744358,1,1,2,0,7,5,COMPLETE
31,31,0.5737997726579338,2022-03-13 15:51:34.527984,2022-03-13 15:51:35.554038,0 days 00:00:01.026054,0,1,1,0,6,0,COMPLETE
32,32,0.564887408055558,2022-03-13 15:51:35.554949,2022-03-13 15:51:36.024069,0 days 00:00:00.469120,0,1,1,0,4,1,COMPLETE
33,33,0.564887408055558,2022-03-13 15:51:36.025041,2022-03-13 15:51:36.491244,0 days 00:00:00.466203,0,1,1,0,4,1,COMPLETE
34,34,0.564887408055558,2022-03-13 15:51:36.492192,2022-03-13 15:51:36.941863,0 days 00:00:00.449671,0,1,1,0,4,1,COMPLETE
35,35,0.46608285175828523,2022-03-13 15:51:36.942777,2022-03-13 15:51:37.932637,0 days 00:00:00.989860,0,2,1,0,4,1,COMPLETE
36,36,0.564887408055558,2022-03-13 15:51:37.933729,2022-03-13 15:51:38.391625,0 days 00:00:00.457896,0,1,1,0,4,1,COMPLETE
37,37,0.571928164233539,2022-03-13 15:51:38.392705,2022-03-13 15:51:38.805514,0 days 00:00:00.412809,0,1,1,0,3,0,COMPLETE
38,38,0.571928164233539,2022-03-13 15:51:38.806464,2022-03-13 15:51:39.224750,0 days 00:00:00.418286,0,1,1,0,3,0,COMPLETE
39,39,-7.634793070611051,2022-03-13 15:51:39.225642,2022-03-13 15:51:39.329704,0 days 00:00:00.104062,0,0,0,0,3,0,COMPLETE
40,40,0.571928164233539,2022-03-13 15:51:39.331137,2022-03-13 15:51:39.749521,0 days 00:00:00.418384,0,1,1,0,3,0,COMPLETE
41,41,0.571928164233539,2022-03-13 15:51:39.750417,2022-03-13 15:51:40.152436,0 days 00:00:00.402019,0,1,1,0,3,0,COMPLETE
42,42,0.571928164233539,2022-03-13 15:51:40.153425,2022-03-13 15:51:40.568392,0 days 00:00:00.414967,0,1,1,0,3,0,COMPLETE
43,43,0.5740877654069563,2022-03-13 15:51:40.569337,2022-03-13 15:51:40.915938,0 days 00:00:00.346601,0,1,1,0,2,0,COMPLETE
44,44,0.5740877654069563,2022-03-13 15:51:40.917041,2022-03-13 15:51:41.259959,0 days 00:00:00.342918,0,1,1,0,2,0,COMPLETE
45,45,0.5771370966699461,2022-03-13 15:51:41.260874,2022-03-13 15:51:41.546362,0 days 00:00:00.285488,0,1,1,0,1,0,COMPLETE
46,46,0.4757081323211746,2022-03-13 15:51:41.547344,2022-03-13 15:51:42.190781,0 days 00:00:00.643437,0,2,1,0,1,0,COMPLETE
47,47,0.03999257565220593,2022-03-13 15:51:42.191978,2022-03-13 15:51:42.358049,0 days 00:00:00.166071,0,1,0,0,2,0,COMPLETE
48,48,-3.977026739143388,2022-03-13 15:51:42.359003,2022-03-13 15:51:42.607278,0 days 00:00:00.248275,0,0,1,0,1,1,COMPLETE
49,49,0.027413740239421225,2022-03-13 15:51:42.608256,2022-03-13 15:51:42.902616,0 days 00:00:00.294360,0,1,0,0,2,1,COMPLETE
