,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.7630108862275364,2022-03-13 17:51:44.502615,2022-03-13 17:51:47.207055,0 days 00:00:02.704440,1,0,1,0,6,7,COMPLETE
1,1,0.6771087459656466,2022-03-13 17:51:47.208129,2022-03-13 17:51:48.128307,0 days 00:00:00.920178,0,3,0,0,4,1,COMPLETE
2,2,0.7703451972913484,2022-03-13 17:51:48.129573,2022-03-13 17:51:49.616949,0 days 00:00:01.487376,1,0,1,0,7,1,COMPLETE
3,3,0.41064196067359815,2022-03-13 17:51:49.618308,2022-03-13 17:51:50.522149,0 days 00:00:00.903841,0,0,0,1,6,5,COMPLETE
4,4,0.7442905666707085,2022-03-13 17:51:50.523031,2022-03-13 17:51:56.068004,0 days 00:00:05.544973,1,1,1,0,6,4,COMPLETE
5,5,0.6981670190226674,2022-03-13 17:51:56.069342,2022-03-13 17:52:16.030767,0 days 00:00:19.961425,1,3,0,0,6,3,COMPLETE
6,6,0.6284359279786093,2022-03-13 17:52:16.031894,2022-03-13 17:52:21.130023,0 days 00:00:05.098129,1,1,0,0,5,3,COMPLETE
7,7,0.7089600495836594,2022-03-13 17:52:21.131124,2022-03-13 17:52:36.335946,0 days 00:00:15.204822,1,2,0,0,8,7,COMPLETE
8,8,0.7032545386910275,2022-03-13 17:52:36.337142,2022-03-13 17:52:43.636253,0 days 00:00:07.299111,0,2,3,1,2,5,COMPLETE
9,9,0.4146615453496405,2022-03-13 17:52:43.637411,2022-03-13 17:52:44.239783,0 days 00:00:00.602372,0,1,0,0,7,2,COMPLETE
10,10,-0.3604127694259385,2022-03-13 17:52:44.240746,2022-03-13 17:52:46.287604,0 days 00:00:02.046858,1,0,3,1,1,0,COMPLETE
11,11,0.7618576672508944,2022-03-13 17:52:46.288718,2022-03-13 17:53:13.297696,0 days 00:00:27.008978,1,0,2,0,8,8,COMPLETE
12,12,0.7629692453080897,2022-03-13 17:53:13.298758,2022-03-13 17:53:17.506207,0 days 00:00:04.207449,1,0,1,0,4,6,COMPLETE
