,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.49161718656315134,2022-03-13 18:14:33.029996,2022-03-13 18:14:52.576028,0 days 00:00:19.546032,1,0,1,1,7,8,COMPLETE
1,1,0.6335383286275778,2022-03-13 18:14:52.577166,2022-03-13 18:14:59.510266,0 days 00:00:06.933100,1,1,1,0,4,3,COMPLETE
2,2,0.46299848644801933,2022-03-13 18:14:59.511396,2022-03-13 18:15:37.394064,0 days 00:00:37.882668,1,3,0,1,8,6,COMPLETE
3,3,0.5974306450480376,2022-03-13 18:15:37.395442,2022-03-13 18:15:45.707871,0 days 00:00:08.312429,1,3,1,0,1,5,COMPLETE
4,4,0.42522134225033625,2022-03-13 18:15:45.709068,2022-03-13 18:15:46.206262,0 days 00:00:00.497194,1,2,0,0,1,2,COMPLETE
5,5,0.4927446035313404,2022-03-13 18:15:46.207673,2022-03-13 18:15:52.634819,0 days 00:00:06.427146,0,3,3,1,5,2,COMPLETE
6,6,-4.887922492577101,2022-03-13 18:15:52.635939,2022-03-13 18:15:53.171053,0 days 00:00:00.535114,0,0,2,1,1,0,COMPLETE
7,7,0.06922809059909019,2022-03-13 18:15:53.172242,2022-03-13 18:15:54.009453,0 days 00:00:00.837211,0,0,0,0,8,2,COMPLETE
8,8,0.5107227105005093,2022-03-13 18:15:54.010378,2022-03-13 18:16:14.020320,0 days 00:00:20.009942,1,1,3,1,6,5,COMPLETE
9,9,0.656717786087676,2022-03-13 18:16:14.021449,2022-03-13 18:16:22.479999,0 days 00:00:08.458550,1,2,1,0,2,8,COMPLETE
10,10,0.5513957345958036,2022-03-13 18:16:22.481335,2022-03-13 18:16:31.412570,0 days 00:00:08.931235,0,2,2,0,3,8,COMPLETE
11,11,0.6335383286275778,2022-03-13 18:16:31.413547,2022-03-13 18:16:38.270676,0 days 00:00:06.857129,1,1,1,0,4,3,COMPLETE
12,12,0.633653846879429,2022-03-13 18:16:38.271612,2022-03-13 18:16:43.207558,0 days 00:00:04.935946,1,2,1,0,3,6,COMPLETE
13,13,0.5217228424506994,2022-03-13 18:16:43.208580,2022-03-13 18:17:02.974310,0 days 00:00:19.765730,1,2,2,0,3,7,COMPLETE
14,14,0.6343623535904839,2022-03-13 18:17:02.975437,2022-03-13 18:17:06.128048,0 days 00:00:03.152611,1,2,1,0,0,7,COMPLETE
