,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.48240606093026517,2022-03-13 19:28:48.296214,2022-03-13 19:29:08.654485,0 days 00:00:20.358271,0,3,2,1,6,6,COMPLETE
1,1,0.42427846256225443,2022-03-13 19:29:08.655632,2022-03-13 19:29:09.925504,0 days 00:00:01.269872,1,2,0,0,3,2,COMPLETE
2,2,0.6291568770030518,2022-03-13 19:29:09.927007,2022-03-13 19:29:13.873806,0 days 00:00:03.946799,1,2,2,0,0,1,COMPLETE
3,3,0.6325368663990776,2022-03-13 19:29:13.875754,2022-03-13 19:29:25.988820,0 days 00:00:12.113066,1,0,2,0,4,3,COMPLETE
4,4,0.2835813234529143,2022-03-13 19:29:25.990060,2022-03-13 19:29:39.221986,0 days 00:00:13.231926,0,2,2,0,4,8,COMPLETE
5,5,0.5745181609280715,2022-03-13 19:29:39.223179,2022-03-13 19:29:43.500676,0 days 00:00:04.277497,0,3,1,0,7,0,COMPLETE
6,6,-1.0020935615617694,2022-03-13 19:29:43.501828,2022-03-13 19:29:45.495136,0 days 00:00:01.993308,0,0,3,1,5,0,COMPLETE
7,7,0.5037535289580966,2022-03-13 19:29:45.496345,2022-03-13 19:29:49.363241,0 days 00:00:03.866896,1,1,2,1,2,3,COMPLETE
8,8,0.6610391538651873,2022-03-13 19:29:49.364311,2022-03-13 19:30:35.600239,0 days 00:00:46.235928,1,0,3,0,5,8,COMPLETE
9,9,0.0464759290321457,2022-03-13 19:30:35.601347,2022-03-13 19:30:38.721171,0 days 00:00:03.119824,0,1,0,0,2,7,COMPLETE
10,10,0.5107592384805713,2022-03-13 19:30:38.722220,2022-03-13 19:31:00.377790,0 days 00:00:21.655570,1,0,3,1,8,5,COMPLETE
11,11,0.6278410853819761,2022-03-13 19:31:00.378855,2022-03-13 19:31:30.053486,0 days 00:00:29.674631,1,0,3,0,5,4,COMPLETE
12,12,0.6386538724139816,2022-03-13 19:31:30.054902,2022-03-13 19:31:45.736212,0 days 00:00:15.681310,1,1,1,0,4,4,COMPLETE
13,13,0.6506029815855527,2022-03-13 19:31:45.737528,2022-03-13 19:32:00.837039,0 days 00:00:15.099511,1,1,1,0,6,5,COMPLETE
14,14,0.6611693227448079,2022-03-13 19:32:00.838587,2022-03-13 19:32:18.883187,0 days 00:00:18.044600,1,1,1,0,7,8,COMPLETE
15,15,0.653617433455573,2022-03-13 19:32:18.884492,2022-03-13 19:32:30.669759,0 days 00:00:11.785267,1,0,1,0,8,8,COMPLETE
16,16,0.3431442526196127,2022-03-13 19:32:30.670882,2022-03-13 19:32:34.740497,0 days 00:00:04.069615,1,1,0,0,7,7,COMPLETE
17,17,0.5052057728181494,2022-03-13 19:32:34.741606,2022-03-13 19:32:52.462174,0 days 00:00:17.720568,1,0,3,1,6,7,COMPLETE
18,18,0.6611693227448079,2022-03-13 19:32:52.463509,2022-03-13 19:33:10.769959,0 days 00:00:18.306450,1,1,1,0,7,8,COMPLETE
19,19,0.6400200979218161,2022-03-13 19:33:10.771293,2022-03-13 19:33:17.918842,0 days 00:00:07.147549,1,2,1,0,7,6,COMPLETE
20,20,0.4964809286726364,2022-03-13 19:33:17.919973,2022-03-13 19:33:25.385493,0 days 00:00:07.465520,0,1,0,1,8,6,COMPLETE
21,21,0.6579636550203969,2022-03-13 19:33:25.387246,2022-03-13 19:33:34.897161,0 days 00:00:09.509915,1,1,1,0,5,8,COMPLETE
22,22,0.6611693227448079,2022-03-13 19:33:34.898184,2022-03-13 19:33:53.222450,0 days 00:00:18.324266,1,1,1,0,7,8,COMPLETE
23,23,0.6469670233624242,2022-03-13 19:33:53.223709,2022-03-13 19:33:58.754765,0 days 00:00:05.531056,1,1,1,0,7,7,COMPLETE
24,24,0.6378712466690752,2022-03-13 19:33:58.755795,2022-03-13 19:34:08.305295,0 days 00:00:09.549500,1,2,1,0,6,8,COMPLETE
25,25,0.3514224935768695,2022-03-13 19:34:08.306325,2022-03-13 19:34:25.105549,0 days 00:00:16.799224,1,1,0,0,8,7,COMPLETE
26,26,0.510211406317955,2022-03-13 19:34:25.106791,2022-03-13 19:35:40.034422,0 days 00:01:14.927631,1,2,1,0,7,5,COMPLETE
27,27,0.636500186360042,2022-03-13 19:35:40.035622,2022-03-13 19:35:43.553053,0 days 00:00:03.517431,1,1,2,0,0,6,COMPLETE
28,28,0.6226815777462569,2022-03-13 19:35:43.554580,2022-03-13 19:36:09.317907,0 days 00:00:25.763327,1,1,1,0,6,8,COMPLETE
29,29,0.45861485644279343,2022-03-13 19:36:09.319217,2022-03-13 19:36:23.092059,0 days 00:00:13.772842,0,3,0,1,6,7,COMPLETE
30,30,0.5566785284959339,2022-03-13 19:36:23.093014,2022-03-13 19:36:41.751135,0 days 00:00:18.658121,1,2,1,0,8,6,COMPLETE
31,31,0.6590902886673768,2022-03-13 19:36:41.752498,2022-03-13 19:36:56.859296,0 days 00:00:15.106798,1,0,2,0,5,8,COMPLETE
32,32,0.5306537671481018,2022-03-13 19:36:56.860686,2022-03-13 19:37:19.386756,0 days 00:00:22.526070,1,0,1,0,7,8,COMPLETE
33,33,0.5033604654713266,2022-03-13 19:37:19.387845,2022-03-13 19:37:32.876578,0 days 00:00:13.488733,1,1,2,0,6,7,COMPLETE
34,34,0.6617377618764279,2022-03-13 19:37:32.877600,2022-03-13 19:37:46.760889,0 days 00:00:13.883289,1,0,2,0,3,8,COMPLETE
35,35,0.637748051603589,2022-03-13 19:37:46.761953,2022-03-13 19:37:49.711828,0 days 00:00:02.949875,1,2,2,0,3,2,COMPLETE
36,36,0.6586719751101879,2022-03-13 19:37:49.712910,2022-03-13 19:38:01.334031,0 days 00:00:11.621121,1,1,2,0,3,8,COMPLETE
37,37,0.6387086696189526,2022-03-13 19:38:01.335739,2022-03-13 19:38:07.785046,0 days 00:00:06.449307,1,0,2,0,2,7,COMPLETE
38,38,0.5723192324859683,2022-03-13 19:38:07.786284,2022-03-13 19:38:11.397934,0 days 00:00:03.611650,0,3,1,0,1,6,COMPLETE
39,39,0.6423469541277838,2022-03-13 19:38:11.399273,2022-03-13 19:38:13.104410,0 days 00:00:01.705137,1,1,1,0,4,1,COMPLETE
40,40,0.6722430782838933,2022-03-13 19:38:13.105622,2022-03-13 19:38:40.546372,0 days 00:00:27.440750,1,2,2,0,3,8,COMPLETE
41,41,0.6722430782838933,2022-03-13 19:38:40.547515,2022-03-13 19:39:09.017255,0 days 00:00:28.469740,1,2,2,0,3,8,COMPLETE
42,42,0.6722430782838933,2022-03-13 19:39:09.018408,2022-03-13 19:39:37.016011,0 days 00:00:27.997603,1,2,2,0,3,8,COMPLETE
43,43,0.5217228424506994,2022-03-13 19:39:37.017120,2022-03-13 19:39:57.317318,0 days 00:00:20.300198,1,2,2,0,3,7,COMPLETE
44,44,0.6640172303594856,2022-03-13 19:39:57.318337,2022-03-13 19:40:11.674347,0 days 00:00:14.356010,1,2,2,0,2,8,COMPLETE
45,45,0.6374016642683529,2022-03-13 19:40:11.675458,2022-03-13 19:40:15.974841,0 days 00:00:04.299383,1,2,2,0,2,7,COMPLETE
46,46,0.6112429249822373,2022-03-13 19:40:15.976154,2022-03-13 19:40:20.183883,0 days 00:00:04.207729,1,3,2,0,1,8,COMPLETE
47,47,0.6384317767963916,2022-03-13 19:40:20.184994,2022-03-13 19:40:27.190298,0 days 00:00:07.005304,1,2,3,0,2,3,COMPLETE
48,48,0.4862749011954919,2022-03-13 19:40:27.191414,2022-03-13 19:40:45.848715,0 days 00:00:18.657301,0,2,2,1,3,8,COMPLETE
49,49,0.511037679250874,2022-03-13 19:40:45.850361,2022-03-13 19:41:08.282427,0 days 00:00:22.432066,1,2,2,0,4,7,COMPLETE
