,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,-4.868119178264656,2022-03-13 19:41:08.292698,2022-03-13 19:41:08.392412,0 days 00:00:00.099714,0,0,0,1,1,0,COMPLETE
1,1,0.6722892117118922,2022-03-13 19:41:08.393458,2022-03-13 19:41:16.945775,0 days 00:00:08.552317,1,0,2,1,0,5,COMPLETE
2,2,0.21833289168944936,2022-03-13 19:41:16.946877,2022-03-13 19:41:27.125441,0 days 00:00:10.178564,0,0,2,0,8,5,COMPLETE
3,3,0.6689634725564706,2022-03-13 19:41:27.126713,2022-03-13 19:42:02.339901,0 days 00:00:35.213188,1,2,1,1,8,6,COMPLETE
4,4,0.5518927639895266,2022-03-13 19:42:02.340896,2022-03-13 19:42:17.876198,0 days 00:00:15.535302,0,0,3,1,6,7,COMPLETE
5,5,0.5233513884443597,2022-03-13 19:42:17.877468,2022-03-13 19:42:18.569153,0 days 00:00:00.691685,1,1,0,0,8,2,COMPLETE
6,6,0.6792710939186757,2022-03-13 19:42:18.570159,2022-03-13 19:42:22.348482,0 days 00:00:03.778323,1,2,1,0,4,3,COMPLETE
7,7,0.6579354865855591,2022-03-13 19:42:22.349611,2022-03-13 19:42:54.699025,0 days 00:00:32.349414,1,2,3,1,6,6,COMPLETE
8,8,0.6689150198608802,2022-03-13 19:42:54.700128,2022-03-13 19:43:07.375434,0 days 00:00:12.675306,1,1,3,1,8,2,COMPLETE
9,9,0.6860982152540811,2022-03-13 19:43:07.376755,2022-03-13 19:43:13.258608,0 days 00:00:05.881853,0,3,3,0,8,1,COMPLETE
10,10,0.6700255626851627,2022-03-13 19:43:13.260005,2022-03-13 19:43:15.283727,0 days 00:00:02.023722,0,3,2,0,4,0,COMPLETE
11,11,0.6538718893228159,2022-03-13 19:43:15.285100,2022-03-13 19:43:18.373119,0 days 00:00:03.088019,0,3,1,0,3,3,COMPLETE
12,12,0.5692190592303259,2022-03-13 19:43:18.374435,2022-03-13 19:43:26.317263,0 days 00:00:07.942828,0,3,1,0,5,2,COMPLETE
