,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.26184860346068184,2022-03-13 16:48:33.273159,2022-03-13 16:48:37.613451,0 days 00:00:04.340292,0,3,3,1,1,1,COMPLETE
1,1,0.052776440815770376,2022-03-13 16:48:37.614418,2022-03-13 16:48:38.875193,0 days 00:00:01.260775,0,3,0,0,8,0,COMPLETE
2,2,-0.0838955109721804,2022-03-13 16:48:38.876351,2022-03-13 16:48:39.663126,0 days 00:00:00.786775,1,1,0,1,1,1,COMPLETE
3,3,-0.4251704585967817,2022-03-13 16:48:39.664434,2022-03-13 16:48:40.196785,0 days 00:00:00.532351,0,1,1,1,3,0,COMPLETE
4,4,-0.028673401221407158,2022-03-13 16:48:40.197777,2022-03-13 16:48:40.752864,0 days 00:00:00.555087,1,1,0,0,1,7,COMPLETE
5,5,0.38329825398935546,2022-03-13 16:48:40.753929,2022-03-13 16:49:14.874996,0 days 00:00:34.121067,1,1,3,0,6,5,COMPLETE
6,6,0.004127490806677625,2022-03-13 16:49:14.876552,2022-03-13 16:49:23.654856,0 days 00:00:08.778304,0,0,2,0,5,6,COMPLETE
7,7,0.2651364401664935,2022-03-13 16:49:23.656211,2022-03-13 16:49:39.875193,0 days 00:00:16.218982,0,2,0,1,5,3,COMPLETE
8,8,0.2516127045943417,2022-03-13 16:49:39.876680,2022-03-13 16:49:44.524096,0 days 00:00:04.647416,0,3,0,1,5,2,COMPLETE
9,9,0.3259635279626958,2022-03-13 16:49:44.525372,2022-03-13 16:50:07.626830,0 days 00:00:23.101458,1,0,2,1,4,5,COMPLETE
10,10,0.3999876313529115,2022-03-13 16:50:07.628064,2022-03-13 16:50:57.994952,0 days 00:00:50.366888,1,2,3,0,8,8,COMPLETE
11,11,0.3999876313529115,2022-03-13 16:50:57.996628,2022-03-13 16:51:51.782630,0 days 00:00:53.786002,1,2,3,0,8,8,COMPLETE
12,12,0.3999876313529115,2022-03-13 16:51:51.783729,2022-03-13 16:52:46.733871,0 days 00:00:54.950142,1,2,3,0,8,8,COMPLETE
13,13,0.30924654860095546,2022-03-13 16:52:46.735106,2022-03-13 16:53:19.982318,0 days 00:00:33.247212,1,2,2,0,7,8,COMPLETE
14,14,0.32332602432652213,2022-03-13 16:53:19.983608,2022-03-13 16:53:53.253390,0 days 00:00:33.269782,1,2,3,0,7,7,COMPLETE
15,15,0.37713672995636194,2022-03-13 16:53:53.255091,2022-03-13 16:54:06.975842,0 days 00:00:13.720751,1,2,1,0,8,6,COMPLETE
