,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.3608486548031362,2022-03-13 19:58:24.551992,2022-03-13 19:58:48.644176,0 days 00:00:24.092184,0,3,1,1,8,4,COMPLETE
1,1,-0.008268260688168327,2022-03-13 19:58:48.645604,2022-03-13 19:58:51.612718,0 days 00:00:02.967114,1,1,3,1,3,0,COMPLETE
2,2,0.17470357773191725,2022-03-13 19:58:51.613869,2022-03-13 19:59:04.053777,0 days 00:00:12.439908,0,0,3,0,8,6,COMPLETE
3,3,0.2910810628589694,2022-03-13 19:59:04.054804,2022-03-13 19:59:04.909865,0 days 00:00:00.855061,1,2,0,0,0,5,COMPLETE
4,4,0.4734278437195638,2022-03-13 19:59:04.911031,2022-03-13 19:59:06.639525,0 days 00:00:01.728494,0,3,3,0,0,0,COMPLETE
5,5,-0.11341152083513895,2022-03-13 19:59:06.640826,2022-03-13 19:59:08.794747,0 days 00:00:02.153921,0,0,1,0,4,8,COMPLETE
6,6,0.3077553447884914,2022-03-13 19:59:08.795894,2022-03-13 20:00:16.199382,0 days 00:01:07.403488,1,3,0,1,8,6,COMPLETE
7,7,0.39925871380319944,2022-03-13 20:00:16.200476,2022-03-13 20:00:57.052824,0 days 00:00:40.852348,1,1,3,1,6,6,COMPLETE
8,8,0.5157216872327254,2022-03-13 20:00:57.053832,2022-03-13 20:01:22.885699,0 days 00:00:25.831867,1,3,1,0,8,8,COMPLETE
9,9,0.10944640424840157,2022-03-13 20:01:22.887390,2022-03-13 20:01:25.711307,0 days 00:00:02.823917,1,1,0,1,2,8,COMPLETE
10,10,0.5411736735067976,2022-03-13 20:01:25.712566,2022-03-13 20:01:43.482417,0 days 00:00:17.769851,1,2,2,0,6,3,COMPLETE
11,11,0.5411736735067976,2022-03-13 20:01:43.483616,2022-03-13 20:02:00.983386,0 days 00:00:17.499770,1,2,2,0,6,3,COMPLETE
12,12,0.533348459241061,2022-03-13 20:02:00.984811,2022-03-13 20:02:06.064201,0 days 00:00:05.079390,1,2,2,0,6,2,COMPLETE
13,13,0.5411736735067976,2022-03-13 20:02:06.065445,2022-03-13 20:02:23.657889,0 days 00:00:17.592444,1,2,2,0,6,3,COMPLETE
14,14,0.5343307361101723,2022-03-13 20:02:23.658975,2022-03-13 20:02:29.362946,0 days 00:00:05.703971,1,2,2,0,5,2,COMPLETE
15,15,0.5343307361101723,2022-03-13 20:02:29.364019,2022-03-13 20:02:35.148407,0 days 00:00:05.784388,1,2,2,0,5,2,COMPLETE
16,16,0.5248874118642669,2022-03-13 20:02:35.149691,2022-03-13 20:03:29.745023,0 days 00:00:54.595332,1,1,2,0,7,4,COMPLETE
17,17,0.45332070322757845,2022-03-13 20:03:29.746076,2022-03-13 20:03:31.143230,0 days 00:00:01.397154,0,2,1,0,4,1,COMPLETE
18,18,0.5348093812668592,2022-03-13 20:03:31.144332,2022-03-13 20:03:36.644769,0 days 00:00:05.500437,1,1,2,0,2,3,COMPLETE
19,19,0.5016554014516788,2022-03-13 20:03:36.646086,2022-03-13 20:04:01.458897,0 days 00:00:24.812811,1,3,1,0,5,3,COMPLETE
20,20,0.3639396223521386,2022-03-13 20:04:01.459943,2022-03-13 20:04:13.417042,0 days 00:00:11.957099,0,2,3,1,7,5,COMPLETE
21,21,0.5411736735067976,2022-03-13 20:04:13.418199,2022-03-13 20:04:30.976753,0 days 00:00:17.558554,1,2,2,0,6,3,COMPLETE
22,22,0.5291838963537,2022-03-13 20:04:30.978128,2022-03-13 20:04:37.854978,0 days 00:00:06.876850,1,2,2,0,7,1,COMPLETE
23,23,0.5411736735067976,2022-03-13 20:04:37.856103,2022-03-13 20:04:55.497193,0 days 00:00:17.641090,1,2,2,0,6,3,COMPLETE
24,24,0.5060663891563727,2022-03-13 20:04:55.498320,2022-03-13 20:05:37.776554,0 days 00:00:42.278234,1,1,2,0,5,4,COMPLETE
25,25,0.5333685016877665,2022-03-13 20:05:37.777613,2022-03-13 20:05:49.463259,0 days 00:00:11.685646,1,2,1,0,7,5,COMPLETE
26,26,0.49076012139144376,2022-03-13 20:05:49.464438,2022-03-13 20:05:54.219790,0 days 00:00:04.755352,1,3,2,0,6,1,COMPLETE
27,27,0.5441039932767322,2022-03-13 20:05:54.220843,2022-03-13 20:06:03.228063,0 days 00:00:09.007220,1,2,3,0,3,2,COMPLETE
28,28,0.5358880409795538,2022-03-13 20:06:03.229236,2022-03-13 20:06:10.339812,0 days 00:00:07.110576,1,1,3,0,3,2,COMPLETE
29,29,0.3770465411322611,2022-03-13 20:06:10.340958,2022-03-13 20:06:17.407553,0 days 00:00:07.066595,0,3,3,1,3,4,COMPLETE
30,30,0.5047783912301776,2022-03-13 20:06:17.408950,2022-03-13 20:06:21.281127,0 days 00:00:03.872177,1,3,3,0,1,1,COMPLETE
31,31,0.5269663261898057,2022-03-13 20:06:21.282238,2022-03-13 20:06:34.340542,0 days 00:00:13.058304,1,2,2,0,4,3,COMPLETE
32,32,0.5343307361101723,2022-03-13 20:06:34.341649,2022-03-13 20:06:40.144284,0 days 00:00:05.802635,1,2,2,0,5,2,COMPLETE
33,33,0.5434198320196921,2022-03-13 20:06:40.145372,2022-03-13 20:06:51.142856,0 days 00:00:10.997484,1,2,3,0,2,3,COMPLETE
34,34,0.540945256135229,2022-03-13 20:06:51.143926,2022-03-13 20:07:00.869948,0 days 00:00:09.726022,1,2,3,0,2,4,COMPLETE
35,35,0.5387004392016099,2022-03-13 20:07:00.870950,2022-03-13 20:07:14.208899,0 days 00:00:13.337949,1,2,3,0,1,5,COMPLETE
36,36,0.5318017332682534,2022-03-13 20:07:14.210144,2022-03-13 20:07:16.793600,0 days 00:00:02.583456,1,0,3,0,3,0,COMPLETE
37,37,0.46712606426598025,2022-03-13 20:07:16.794587,2022-03-13 20:07:19.868323,0 days 00:00:03.073736,0,1,3,0,1,2,COMPLETE
38,38,0.5029565870249583,2022-03-13 20:07:19.869374,2022-03-13 20:07:28.343606,0 days 00:00:08.474232,1,3,3,0,4,3,COMPLETE
39,39,0.3843334465317926,2022-03-13 20:07:28.344618,2022-03-13 20:07:35.614240,0 days 00:00:07.269622,1,2,3,1,2,4,COMPLETE
40,40,0.47010609056648567,2022-03-13 20:07:35.615289,2022-03-13 20:07:38.363661,0 days 00:00:02.748372,0,1,3,0,4,0,COMPLETE
41,41,0.539573789697877,2022-03-13 20:07:38.365089,2022-03-13 20:07:52.776863,0 days 00:00:14.411774,1,2,2,0,3,3,COMPLETE
42,42,0.5461432632951189,2022-03-13 20:07:52.778395,2022-03-13 20:08:00.968826,0 days 00:00:08.190431,1,2,1,0,8,3,COMPLETE
43,43,0.5289305393825565,2022-03-13 20:08:00.970057,2022-03-13 20:09:43.751452,0 days 00:01:42.781395,1,2,1,0,8,4,COMPLETE
44,44,0.31583731699091366,2022-03-13 20:09:43.752942,2022-03-13 20:09:44.827689,0 days 00:00:01.074747,1,2,0,0,8,2,COMPLETE
45,45,0.5152081690730862,2022-03-13 20:09:44.828994,2022-03-13 20:10:15.755832,0 days 00:00:30.926838,1,2,1,0,7,7,COMPLETE
46,46,0.5188392536815482,2022-03-13 20:10:15.757108,2022-03-13 20:10:18.866993,0 days 00:00:03.109885,1,2,1,0,2,3,COMPLETE
47,47,0.29555691023925534,2022-03-13 20:10:18.868214,2022-03-13 20:10:19.312538,0 days 00:00:00.444324,1,2,0,0,0,2,COMPLETE
48,48,0.34666611748522236,2022-03-13 20:10:19.313824,2022-03-13 20:10:43.629577,0 days 00:00:24.315753,1,3,1,1,8,3,COMPLETE
49,49,0.5199234562964985,2022-03-13 20:10:43.630701,2022-03-13 20:10:45.993107,0 days 00:00:02.362406,1,2,1,0,3,1,COMPLETE
