,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,-5.2738732800527295,2022-03-13 17:00:22.315486,2022-03-13 17:00:22.424414,0 days 00:00:00.108928,0,0,0,1,0,0,COMPLETE
1,1,0.3910866584936442,2022-03-13 17:00:22.425697,2022-03-13 17:00:38.246719,0 days 00:00:15.821022,0,2,0,0,8,3,COMPLETE
2,2,0.7115186021014253,2022-03-13 17:00:38.248187,2022-03-13 17:00:46.249729,0 days 00:00:08.001542,0,0,1,1,7,8,COMPLETE
3,3,0.7203192462388146,2022-03-13 17:00:46.251027,2022-03-13 17:00:52.231815,0 days 00:00:05.980788,1,1,2,0,5,6,COMPLETE
4,4,0.6785308894945392,2022-03-13 17:00:52.233355,2022-03-13 17:02:17.419876,0 days 00:01:25.186521,1,3,3,0,8,7,COMPLETE
5,5,0.7015611946143021,2022-03-13 17:02:17.421475,2022-03-13 17:02:35.411310,0 days 00:00:17.989835,0,1,1,0,6,7,COMPLETE
6,6,0.6284380707984996,2022-03-13 17:02:35.412776,2022-03-13 17:03:01.688327,0 days 00:00:26.275551,1,3,3,1,0,7,COMPLETE
7,7,0.4224149919337401,2022-03-13 17:03:01.689789,2022-03-13 17:03:04.076626,0 days 00:00:02.386837,1,3,0,1,6,0,COMPLETE
8,8,0.6456008752129994,2022-03-13 17:03:04.078082,2022-03-13 17:03:07.174043,0 days 00:00:03.095961,1,3,0,0,2,7,COMPLETE
9,9,0.6328959185164335,2022-03-13 17:03:07.175446,2022-03-13 17:03:11.531440,0 days 00:00:04.355994,0,2,1,1,3,1,COMPLETE
10,10,0.7190750823515095,2022-03-13 17:03:11.532667,2022-03-13 17:03:21.835386,0 days 00:00:10.302719,1,1,2,0,4,4,COMPLETE
11,11,0.7190750823515095,2022-03-13 17:03:21.836984,2022-03-13 17:03:31.699955,0 days 00:00:09.862971,1,1,2,0,4,4,COMPLETE
12,12,0.728111364722885,2022-03-13 17:03:31.701169,2022-03-13 17:03:47.245622,0 days 00:00:15.544453,1,1,2,0,5,5,COMPLETE
13,13,0.728111364722885,2022-03-13 17:03:47.247218,2022-03-13 17:04:02.616464,0 days 00:00:15.369246,1,1,2,0,5,5,COMPLETE
14,14,0.7319645492412976,2022-03-13 17:04:02.618458,2022-03-13 17:04:18.920458,0 days 00:00:16.302000,1,0,2,0,5,5,COMPLETE
