,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.49196058997368186,2022-03-13 18:57:59.025522,2022-03-13 18:58:01.967443,0 days 00:00:02.941921,0,1,1,1,6,2,COMPLETE
1,1,0.5963178810958216,2022-03-13 18:58:01.968352,2022-03-13 18:58:47.317881,0 days 00:00:45.349529,0,2,3,0,8,7,COMPLETE
2,2,0.49269707163105514,2022-03-13 18:58:47.318823,2022-03-13 18:59:03.446775,0 days 00:00:16.127952,0,3,2,1,8,5,COMPLETE
3,3,0.48746909502735325,2022-03-13 18:59:03.447930,2022-03-13 18:59:24.148742,0 days 00:00:20.700812,1,3,1,1,4,5,COMPLETE
4,4,0.5067764884126218,2022-03-13 18:59:24.150150,2022-03-13 18:59:29.576209,0 days 00:00:05.426059,1,1,3,1,1,3,COMPLETE
5,5,0.331271772740115,2022-03-13 18:59:29.577784,2022-03-13 18:59:29.760787,0 days 00:00:00.183003,1,1,0,0,0,1,COMPLETE
6,6,0.44124430425687566,2022-03-13 18:59:29.761925,2022-03-13 18:59:42.250148,0 days 00:00:12.488223,0,3,0,1,6,6,COMPLETE
7,7,0.15497447034139067,2022-03-13 18:59:42.251277,2022-03-13 18:59:45.589794,0 days 00:00:03.338517,0,0,3,1,3,2,COMPLETE
8,8,-0.12223091072902004,2022-03-13 18:59:45.590993,2022-03-13 18:59:48.450711,0 days 00:00:02.859718,1,2,1,1,2,0,COMPLETE
9,9,0.5090710832867659,2022-03-13 18:59:48.451725,2022-03-13 19:00:02.797362,0 days 00:00:14.345637,1,0,2,1,2,5,COMPLETE
10,10,0.6009498997974478,2022-03-13 19:00:02.798392,2022-03-13 19:00:49.742750,0 days 00:00:46.944358,0,2,3,0,8,8,COMPLETE
11,11,0.6009498997974478,2022-03-13 19:00:49.744040,2022-03-13 19:01:36.830931,0 days 00:00:47.086891,0,2,3,0,8,8,COMPLETE
12,12,0.352490363464383,2022-03-13 19:01:36.831958,2022-03-13 19:01:50.784406,0 days 00:00:13.952448,0,2,2,0,6,8,COMPLETE
13,13,0.5947718985143656,2022-03-13 19:01:50.785640,2022-03-13 19:02:22.058549,0 days 00:00:31.272909,0,2,3,0,7,8,COMPLETE
14,14,0.5966856019119591,2022-03-13 19:02:22.059797,2022-03-13 19:02:38.903824,0 days 00:00:16.844027,0,2,3,0,5,7,COMPLETE
15,15,0.5910762477461071,2022-03-13 19:02:38.904834,2022-03-13 19:03:04.204274,0 days 00:00:25.299440,0,1,2,0,8,7,COMPLETE
16,16,0.6018080889151592,2022-03-13 19:03:04.205417,2022-03-13 19:03:41.603348,0 days 00:00:37.397931,0,3,3,0,7,8,COMPLETE
17,17,0.5975038907573408,2022-03-13 19:03:41.604446,2022-03-13 19:04:07.719608,0 days 00:00:26.115162,0,3,2,0,7,6,COMPLETE
18,18,0.5777312241040482,2022-03-13 19:04:07.720714,2022-03-13 19:04:19.712818,0 days 00:00:11.992104,0,3,3,0,5,4,COMPLETE
19,19,0.5975038907573408,2022-03-13 19:04:19.713871,2022-03-13 19:04:45.957421,0 days 00:00:26.243550,0,3,2,0,7,6,COMPLETE
20,20,0.6521396591722063,2022-03-13 19:04:45.958601,2022-03-13 19:05:32.396347,0 days 00:00:46.437746,1,3,3,0,5,8,COMPLETE
21,21,0.6521396591722063,2022-03-13 19:05:32.397502,2022-03-13 19:06:19.167937,0 days 00:00:46.770435,1,3,3,0,5,8,COMPLETE
22,22,0.6222120991273108,2022-03-13 19:06:19.169477,2022-03-13 19:07:00.670435,0 days 00:00:41.500958,1,3,3,0,4,7,COMPLETE
23,23,0.6222120991273108,2022-03-13 19:07:00.671493,2022-03-13 19:07:41.932931,0 days 00:00:41.261438,1,3,3,0,4,7,COMPLETE
24,24,0.6102693137702052,2022-03-13 19:07:41.934204,2022-03-13 19:07:55.159291,0 days 00:00:13.225087,1,3,2,0,5,7,COMPLETE
25,25,0.6518510485942606,2022-03-13 19:07:55.160317,2022-03-13 19:08:32.910896,0 days 00:00:37.750579,1,3,3,0,3,8,COMPLETE
26,26,0.6077976470886159,2022-03-13 19:08:32.911896,2022-03-13 19:08:37.677285,0 days 00:00:04.765389,1,3,2,0,3,6,COMPLETE
27,27,0.6591412454238055,2022-03-13 19:08:37.678726,2022-03-13 19:09:06.775822,0 days 00:00:29.097096,1,2,3,0,3,8,COMPLETE
28,28,0.6381223638850987,2022-03-13 19:09:06.776858,2022-03-13 19:09:22.780512,0 days 00:00:16.003654,1,2,1,0,5,4,COMPLETE
29,29,0.6425630363011199,2022-03-13 19:09:22.781634,2022-03-13 19:09:28.741954,0 days 00:00:05.960320,1,1,3,0,2,6,COMPLETE
30,30,0.6386435628168541,2022-03-13 19:09:28.743193,2022-03-13 19:09:35.302270,0 days 00:00:06.559077,1,2,2,0,3,3,COMPLETE
31,31,0.6518510485942606,2022-03-13 19:09:35.303292,2022-03-13 19:10:12.976155,0 days 00:00:37.672863,1,3,3,0,3,8,COMPLETE
32,32,0.6311690001536088,2022-03-13 19:10:12.977617,2022-03-13 19:11:00.568376,0 days 00:00:47.590759,1,3,3,0,4,8,COMPLETE
33,33,0.6222120991273108,2022-03-13 19:11:00.569617,2022-03-13 19:11:42.913161,0 days 00:00:42.343544,1,3,3,0,4,7,COMPLETE
34,34,0.6550643176062624,2022-03-13 19:11:42.914297,2022-03-13 19:12:07.207699,0 days 00:00:24.293402,1,2,3,0,1,8,COMPLETE
35,35,0.6429091601793558,2022-03-13 19:12:07.209021,2022-03-13 19:12:13.549182,0 days 00:00:06.340161,1,2,3,0,0,5,COMPLETE
36,36,0.6382529855267781,2022-03-13 19:12:13.550280,2022-03-13 19:12:17.643318,0 days 00:00:04.093038,1,2,2,0,1,7,COMPLETE
37,37,0.34175604372975976,2022-03-13 19:12:17.644306,2022-03-13 19:12:18.252750,0 days 00:00:00.608444,1,1,0,0,1,8,COMPLETE
38,38,0.5323852421828315,2022-03-13 19:12:18.254165,2022-03-13 19:12:43.590961,0 days 00:00:25.336796,1,2,3,1,6,6,COMPLETE
39,39,0.6338831502071621,2022-03-13 19:12:43.592081,2022-03-13 19:12:49.821078,0 days 00:00:06.228997,1,2,1,0,5,7,COMPLETE
40,40,0.49587089406693485,2022-03-13 19:12:49.822330,2022-03-13 19:13:03.548423,0 days 00:00:13.726093,1,0,3,1,0,5,COMPLETE
41,41,0.6377039613480662,2022-03-13 19:13:03.549753,2022-03-13 19:13:20.547993,0 days 00:00:16.998240,1,3,3,0,2,8,COMPLETE
42,42,0.6518510485942606,2022-03-13 19:13:20.549156,2022-03-13 19:13:58.386594,0 days 00:00:37.837438,1,3,3,0,3,8,COMPLETE
43,43,0.6311690001536088,2022-03-13 19:13:58.387856,2022-03-13 19:14:45.762649,0 days 00:00:47.374793,1,3,3,0,4,8,COMPLETE
44,44,0.635985667379559,2022-03-13 19:14:45.763827,2022-03-13 19:14:49.157380,0 days 00:00:03.393553,1,2,3,0,1,0,COMPLETE
45,45,0.6423261285497321,2022-03-13 19:14:49.158664,2022-03-13 19:14:53.238866,0 days 00:00:04.080202,1,1,3,0,2,1,COMPLETE
46,46,0.6518510485942606,2022-03-13 19:14:53.240208,2022-03-13 19:15:31.173759,0 days 00:00:37.933551,1,3,3,0,3,8,COMPLETE
47,47,0.5135724669394149,2022-03-13 19:15:31.174906,2022-03-13 19:15:47.214605,0 days 00:00:16.039699,1,2,2,0,5,7,COMPLETE
