,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.5175539047634181,2022-03-13 18:23:48.905713,2022-03-13 18:23:54.836916,0 days 00:00:05.931203,1,3,0,0,2,5,COMPLETE
1,1,0.532954308928709,2022-03-13 18:23:54.837984,2022-03-13 18:24:14.183395,0 days 00:00:19.345411,0,2,3,1,3,8,COMPLETE
2,2,0.4824128014877739,2022-03-13 18:24:14.184364,2022-03-13 18:24:18.339660,0 days 00:00:04.155296,0,2,0,1,0,6,COMPLETE
3,3,0.5949422817131182,2022-03-13 18:24:18.340682,2022-03-13 18:24:32.784888,0 days 00:00:14.444206,1,0,1,1,5,7,COMPLETE
4,4,0.4592480601405974,2022-03-13 18:24:32.786029,2022-03-13 18:24:42.104821,0 days 00:00:09.318792,1,2,0,0,4,5,COMPLETE
5,5,0.6054324316120794,2022-03-13 18:24:42.105827,2022-03-13 18:24:56.836308,0 days 00:00:14.730481,1,0,2,0,8,8,COMPLETE
6,6,-0.7276020959106797,2022-03-13 18:24:56.837682,2022-03-13 18:24:57.283777,0 days 00:00:00.446095,1,0,0,1,7,1,COMPLETE
7,7,0.5309047514928666,2022-03-13 18:24:57.284976,2022-03-13 18:26:18.630396,0 days 00:01:21.345420,0,1,3,1,8,8,COMPLETE
8,8,0.0810608358225019,2022-03-13 18:26:18.631559,2022-03-13 18:26:19.702394,0 days 00:00:01.070835,1,0,0,1,4,2,COMPLETE
9,9,0.33704706638648085,2022-03-13 18:26:19.703477,2022-03-13 18:26:32.590501,0 days 00:00:12.887024,0,1,0,0,7,8,COMPLETE
10,10,0.6390815004220924,2022-03-13 18:26:32.591487,2022-03-13 18:26:44.277593,0 days 00:00:11.686106,1,1,2,0,6,2,COMPLETE
11,11,0.6206105636594961,2022-03-13 18:26:44.278718,2022-03-13 18:26:53.517058,0 days 00:00:09.238340,1,1,2,0,6,3,COMPLETE
12,12,0.6206105636594961,2022-03-13 18:26:53.518266,2022-03-13 18:27:02.800107,0 days 00:00:09.281841,1,1,2,0,6,3,COMPLETE
13,13,0.6278821742766765,2022-03-13 18:27:02.801074,2022-03-13 18:27:04.854142,0 days 00:00:02.053068,1,1,2,0,6,0,COMPLETE
14,14,0.6204785399479646,2022-03-13 18:27:04.855130,2022-03-13 18:27:12.754551,0 days 00:00:07.899421,1,3,1,0,5,0,COMPLETE
15,15,0.6278821742766765,2022-03-13 18:27:12.755700,2022-03-13 18:27:14.821667,0 days 00:00:02.065967,1,1,2,0,6,0,COMPLETE
16,16,0.617185134328856,2022-03-13 18:27:14.822882,2022-03-13 18:27:17.953275,0 days 00:00:03.130393,1,2,3,0,2,1,COMPLETE
17,17,0.6181198061275746,2022-03-13 18:27:17.954443,2022-03-13 18:27:22.892843,0 days 00:00:04.938400,0,1,1,0,5,2,COMPLETE
18,18,0.6299451790021053,2022-03-13 18:27:22.893804,2022-03-13 18:27:26.696265,0 days 00:00:03.802461,1,2,2,0,7,1,COMPLETE
19,19,0.6271191644951832,2022-03-13 18:27:26.697340,2022-03-13 18:27:43.371087,0 days 00:00:16.673747,1,3,1,0,7,3,COMPLETE
20,20,0.6196369957143828,2022-03-13 18:27:43.372097,2022-03-13 18:27:53.566807,0 days 00:00:10.194710,0,2,3,0,8,2,COMPLETE
21,21,0.6314789460381394,2022-03-13 18:27:53.567984,2022-03-13 18:27:58.433703,0 days 00:00:04.865719,1,1,2,0,6,1,COMPLETE
22,22,0.6299451790021053,2022-03-13 18:27:58.434989,2022-03-13 18:28:02.289442,0 days 00:00:03.854453,1,2,2,0,7,1,COMPLETE
23,23,0.6193021754387535,2022-03-13 18:28:02.290389,2022-03-13 18:28:04.401950,0 days 00:00:02.111561,1,1,2,0,4,1,COMPLETE
