,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.35209469806531135,2022-03-13 17:55:27.281265,2022-03-13 17:55:27.717729,0 days 00:00:00.436464,1,0,0,1,0,3,COMPLETE
1,1,0.4785914048439226,2022-03-13 17:55:27.719017,2022-03-13 17:55:31.163172,0 days 00:00:03.444155,1,2,0,1,0,4,COMPLETE
2,2,0.6002987125352128,2022-03-13 17:55:31.164465,2022-03-13 17:55:38.327010,0 days 00:00:07.162545,0,2,1,1,7,2,COMPLETE
3,3,0.653620861239651,2022-03-13 17:55:38.328044,2022-03-13 17:55:44.339387,0 days 00:00:06.011343,1,1,1,0,5,6,COMPLETE
4,4,0.528804724416249,2022-03-13 17:55:44.340382,2022-03-13 17:56:01.801491,0 days 00:00:17.461109,1,3,0,1,5,4,COMPLETE
5,5,0.5667064610124526,2022-03-13 17:56:01.802622,2022-03-13 17:56:11.714818,0 days 00:00:09.912196,0,3,2,1,3,5,COMPLETE
6,6,0.5991740022110192,2022-03-13 17:56:11.715803,2022-03-13 17:56:20.888998,0 days 00:00:09.173195,0,3,0,1,0,8,COMPLETE
7,7,0.6389254772168775,2022-03-13 17:56:20.890434,2022-03-13 17:56:25.233105,0 days 00:00:04.342671,1,0,1,1,5,8,COMPLETE
8,8,0.5070622794748156,2022-03-13 17:56:25.234105,2022-03-13 17:56:29.950115,0 days 00:00:04.716010,1,2,0,0,3,5,COMPLETE
9,9,0.5088765425423447,2022-03-13 17:56:29.951179,2022-03-13 17:56:37.800428,0 days 00:00:07.849249,0,3,0,0,4,8,COMPLETE
10,10,0.6469690429269379,2022-03-13 17:56:37.801424,2022-03-13 17:57:03.461847,0 days 00:00:25.660423,1,1,3,0,8,6,COMPLETE
11,11,0.6469690429269379,2022-03-13 17:57:03.462829,2022-03-13 17:57:28.820257,0 days 00:00:25.357428,1,1,3,0,8,6,COMPLETE
12,12,0.6530217156190063,2022-03-13 17:57:28.821412,2022-03-13 17:57:32.598120,0 days 00:00:03.776708,1,1,3,0,7,0,COMPLETE
13,13,0.6573025845960392,2022-03-13 17:57:32.599192,2022-03-13 17:57:34.750364,0 days 00:00:02.151172,1,1,2,0,6,0,COMPLETE
14,14,0.6573025845960392,2022-03-13 17:57:34.751963,2022-03-13 17:57:36.897383,0 days 00:00:02.145420,1,1,2,0,6,0,COMPLETE
15,15,0.6630846649179579,2022-03-13 17:57:36.898935,2022-03-13 17:57:38.923979,0 days 00:00:02.025044,1,0,2,0,6,0,COMPLETE
16,16,0.6628893185706968,2022-03-13 17:57:38.925218,2022-03-13 17:57:41.179974,0 days 00:00:02.254756,1,0,2,0,6,1,COMPLETE
17,17,-13769197367297.084,2022-03-13 17:57:41.181249,2022-03-13 17:57:43.648698,0 days 00:00:02.467449,0,0,2,0,2,2,COMPLETE
18,18,0.6628893185706968,2022-03-13 17:57:43.649806,2022-03-13 17:57:45.819069,0 days 00:00:02.169263,1,0,2,0,6,1,COMPLETE
19,19,0.6662023580577153,2022-03-13 17:57:45.820260,2022-03-13 17:57:47.845076,0 days 00:00:02.024816,1,0,1,0,7,1,COMPLETE
20,20,0.20220778751471746,2022-03-13 17:57:47.846747,2022-03-13 17:57:50.338152,0 days 00:00:02.491405,0,0,1,0,7,2,COMPLETE
21,21,0.6662023580577153,2022-03-13 17:57:50.339121,2022-03-13 17:57:52.307598,0 days 00:00:01.968477,1,0,1,0,7,1,COMPLETE
22,22,0.6684620737779083,2022-03-13 17:57:52.308748,2022-03-13 17:57:53.886047,0 days 00:00:01.577299,1,0,1,0,8,1,COMPLETE
23,23,0.6684620737779083,2022-03-13 17:57:53.887025,2022-03-13 17:57:55.475820,0 days 00:00:01.588795,1,0,1,0,8,1,COMPLETE
24,24,0.6666976751933564,2022-03-13 17:57:55.476829,2022-03-13 17:57:59.563489,0 days 00:00:04.086660,1,0,1,0,8,3,COMPLETE
25,25,0.6666976751933564,2022-03-13 17:57:59.564668,2022-03-13 17:58:03.627728,0 days 00:00:04.063060,1,0,1,0,8,3,COMPLETE
26,26,0.6573485348120065,2022-03-13 17:58:03.628914,2022-03-13 17:58:08.226857,0 days 00:00:04.597943,1,1,1,0,8,3,COMPLETE
27,27,0.6701681712756655,2022-03-13 17:58:08.228266,2022-03-13 17:58:09.917428,0 days 00:00:01.689162,1,0,1,0,8,2,COMPLETE
28,28,0.6510529917956388,2022-03-13 17:58:09.918521,2022-03-13 17:58:12.970208,0 days 00:00:03.051687,1,1,1,0,8,2,COMPLETE
29,29,0.35972282884660844,2022-03-13 17:58:12.971605,2022-03-13 17:58:13.199365,0 days 00:00:00.227760,1,0,0,0,7,1,COMPLETE
30,30,0.6701681712756655,2022-03-13 17:58:13.200590,2022-03-13 17:58:15.085677,0 days 00:00:01.885087,1,0,1,0,8,2,COMPLETE
31,31,0.6701681712756655,2022-03-13 17:58:15.086796,2022-03-13 17:58:16.821665,0 days 00:00:01.734869,1,0,1,0,8,2,COMPLETE
32,32,0.6658513488924347,2022-03-13 17:58:16.822626,2022-03-13 17:58:18.456989,0 days 00:00:01.634363,1,0,1,0,7,2,COMPLETE
33,33,0.6669226259879356,2022-03-13 17:58:18.458237,2022-03-13 17:58:28.027308,0 days 00:00:09.569071,1,0,1,0,8,4,COMPLETE
34,34,0.3625445717360706,2022-03-13 17:58:28.028238,2022-03-13 17:58:28.151619,0 days 00:00:00.123381,1,0,0,0,1,2,COMPLETE
35,35,0.6274980548787312,2022-03-13 17:58:28.153077,2022-03-13 17:58:47.169436,0 days 00:00:19.016359,1,2,1,1,7,3,COMPLETE
36,36,0.6573485348120065,2022-03-13 17:58:47.170690,2022-03-13 17:58:51.723608,0 days 00:00:04.552918,1,1,1,0,8,3,COMPLETE
37,37,0.48004139611055974,2022-03-13 17:58:51.725268,2022-03-13 17:58:55.502847,0 days 00:00:03.777579,1,2,0,1,4,2,COMPLETE
38,38,-3223880722.8826203,2022-03-13 17:58:55.504031,2022-03-13 17:58:59.307883,0 days 00:00:03.803852,0,0,1,0,5,4,COMPLETE
39,39,0.6457422588724315,2022-03-13 17:58:59.309177,2022-03-13 17:59:19.519514,0 days 00:00:20.210337,1,0,2,1,7,5,COMPLETE
40,40,0.4319427700395063,2022-03-13 17:59:19.520496,2022-03-13 17:59:20.680967,0 days 00:00:01.160471,1,1,0,0,5,2,COMPLETE
41,41,0.6684620737779083,2022-03-13 17:59:20.682150,2022-03-13 17:59:22.324513,0 days 00:00:01.642363,1,0,1,0,8,1,COMPLETE
42,42,0.6684620737779083,2022-03-13 17:59:22.325698,2022-03-13 17:59:23.919027,0 days 00:00:01.593329,1,0,1,0,8,1,COMPLETE
43,43,0.6688393370285101,2022-03-13 17:59:23.920147,2022-03-13 17:59:25.384329,0 days 00:00:01.464182,1,0,1,0,8,0,COMPLETE
44,44,0.6657220530088365,2022-03-13 17:59:25.385930,2022-03-13 17:59:26.722529,0 days 00:00:01.336599,1,0,1,0,7,0,COMPLETE
45,45,0.6688393370285101,2022-03-13 17:59:26.723541,2022-03-13 17:59:28.165134,0 days 00:00:01.441593,1,0,1,0,8,0,COMPLETE
46,46,0.35966895227043527,2022-03-13 17:59:28.166474,2022-03-13 17:59:28.588613,0 days 00:00:00.422139,1,0,0,0,7,0,COMPLETE
47,47,0.6540801217767922,2022-03-13 17:59:28.589717,2022-03-13 17:59:29.888516,0 days 00:00:01.298799,0,1,1,0,6,0,COMPLETE
48,48,0.6618661812385518,2022-03-13 17:59:29.889547,2022-03-13 17:59:30.882073,0 days 00:00:00.992526,1,0,1,0,3,0,COMPLETE
49,49,0.6376204211067227,2022-03-13 17:59:30.883441,2022-03-13 18:00:10.469443,0 days 00:00:39.586002,1,3,2,1,8,4,COMPLETE
