,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.0382086466899374,2022-03-13 20:26:09.052238,2022-03-13 20:26:09.787184,0 days 00:00:00.734946,0,0,0,0,2,5,COMPLETE
1,1,0.7797180112089397,2022-03-13 20:26:09.788075,2022-03-13 20:26:14.825145,0 days 00:00:05.037070,0,2,2,1,1,6,COMPLETE
2,2,0.7985122854267651,2022-03-13 20:26:14.826088,2022-03-13 20:26:42.607015,0 days 00:00:27.780927,0,2,3,0,8,8,COMPLETE
3,3,0.5871658812047125,2022-03-13 20:26:42.608138,2022-03-13 20:26:42.779455,0 days 00:00:00.171317,1,0,0,0,0,3,COMPLETE
4,4,0.7185593191054799,2022-03-13 20:26:42.780413,2022-03-13 20:26:50.975649,0 days 00:00:08.195236,0,3,0,0,7,6,COMPLETE
5,5,0.7998061997084309,2022-03-13 20:26:50.977392,2022-03-13 20:26:57.580939,0 days 00:00:06.603547,0,1,3,0,3,2,COMPLETE
6,6,0.7973964286804095,2022-03-13 20:26:57.582290,2022-03-13 20:27:24.331998,0 days 00:00:26.749708,0,3,2,0,2,7,COMPLETE
7,7,0.7859173993296141,2022-03-13 20:27:24.332971,2022-03-13 20:27:43.317992,0 days 00:00:18.985021,0,3,3,1,4,8,COMPLETE
8,8,0.8059863187354099,2022-03-13 20:27:43.318984,2022-03-13 20:27:44.905364,0 days 00:00:01.586380,1,0,1,0,8,0,COMPLETE
9,9,0.6233403219898167,2022-03-13 20:27:44.906379,2022-03-13 20:27:45.957995,0 days 00:00:01.051616,1,0,0,0,3,3,COMPLETE
10,10,0.6213719446509849,2022-03-13 20:27:45.958861,2022-03-13 20:27:49.391810,0 days 00:00:03.432949,1,1,1,1,6,0,COMPLETE
11,11,0.7998262869495513,2022-03-13 20:27:49.392835,2022-03-13 20:27:52.315406,0 days 00:00:02.922571,1,1,1,0,5,0,COMPLETE
12,12,0.8047756457839522,2022-03-13 20:27:52.316608,2022-03-13 20:27:55.064922,0 days 00:00:02.748314,1,1,1,0,6,0,COMPLETE
13,13,0.8061081785107787,2022-03-13 20:27:55.066123,2022-03-13 20:27:56.855554,0 days 00:00:01.789431,1,0,1,0,8,1,COMPLETE
14,14,0.7999332437643081,2022-03-13 20:27:56.856630,2022-03-13 20:28:02.061305,0 days 00:00:05.204675,1,0,2,1,8,2,COMPLETE
15,15,0.8065950147233666,2022-03-13 20:28:02.062319,2022-03-13 20:28:03.599246,0 days 00:00:01.536927,1,0,1,0,7,1,COMPLETE
16,16,0.8054257425611393,2022-03-13 20:28:03.600252,2022-03-13 20:28:05.284911,0 days 00:00:01.684659,1,0,1,0,6,2,COMPLETE
17,17,0.7962784039778807,2022-03-13 20:28:05.285892,2022-03-13 20:28:14.200643,0 days 00:00:08.914751,1,2,2,1,7,1,COMPLETE
18,18,0.79807877656506,2022-03-13 20:28:14.201787,2022-03-13 20:28:32.586576,0 days 00:00:18.384789,1,1,1,0,7,4,COMPLETE
19,19,0.8027401231050414,2022-03-13 20:28:32.587966,2022-03-13 20:28:34.748647,0 days 00:00:02.160681,1,0,2,0,5,1,COMPLETE
20,20,0.6822661692087806,2022-03-13 20:28:34.749912,2022-03-13 20:28:37.824546,0 days 00:00:03.074634,1,1,0,1,5,4,COMPLETE
21,21,0.8061081785107787,2022-03-13 20:28:37.825876,2022-03-13 20:28:39.610412,0 days 00:00:01.784536,1,0,1,0,8,1,COMPLETE
