,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.5534800385661633,2022-03-13 20:36:48.895867,2022-03-13 20:36:51.515705,0 days 00:00:02.619838,0,3,3,0,1,2,COMPLETE
1,1,0.5530117644472488,2022-03-13 20:36:51.517040,2022-03-13 20:36:54.362263,0 days 00:00:02.845223,0,1,2,0,4,2,COMPLETE
2,2,0.5129333892443331,2022-03-13 20:36:54.363417,2022-03-13 20:37:33.007859,0 days 00:00:38.644442,0,2,3,1,7,8,COMPLETE
3,3,0.5529857598447452,2022-03-13 20:37:33.009102,2022-03-13 20:37:37.325635,0 days 00:00:04.316533,0,1,2,0,1,5,COMPLETE
4,4,0.5868042670988807,2022-03-13 20:37:37.326873,2022-03-13 20:37:41.493631,0 days 00:00:04.166758,1,2,2,0,0,3,COMPLETE
5,5,0.4823610324759523,2022-03-13 20:37:41.494623,2022-03-13 20:38:02.214710,0 days 00:00:20.720087,0,2,1,1,6,7,COMPLETE
6,6,0.5906006000066296,2022-03-13 20:38:02.216023,2022-03-13 20:38:12.852261,0 days 00:00:10.636238,0,2,2,0,5,7,COMPLETE
7,7,0.5750779314661313,2022-03-13 20:38:12.853315,2022-03-13 20:38:22.652965,0 days 00:00:09.799650,1,3,3,0,3,3,COMPLETE
8,8,0.5141035499411213,2022-03-13 20:38:22.654339,2022-03-13 20:38:32.570061,0 days 00:00:09.915722,1,1,1,1,7,3,COMPLETE
9,9,0.4623603612394016,2022-03-13 20:38:32.571516,2022-03-13 20:38:38.919227,0 days 00:00:06.347711,0,2,0,1,6,4,COMPLETE
10,10,0.2452836062674968,2022-03-13 20:38:38.920538,2022-03-13 20:38:39.066241,0 days 00:00:00.145703,1,0,0,0,3,0,COMPLETE
11,11,0.5914699185211226,2022-03-13 20:38:39.067376,2022-03-13 20:38:43.595930,0 days 00:00:04.528554,1,2,2,0,0,6,COMPLETE
12,12,0.5590016340648858,2022-03-13 20:38:43.597006,2022-03-13 20:39:14.750453,0 days 00:00:31.153447,1,3,2,0,5,6,COMPLETE
13,13,0.624483324090887,2022-03-13 20:39:14.751435,2022-03-13 20:39:29.957081,0 days 00:00:15.205646,1,0,1,0,3,8,COMPLETE
14,14,0.6174765936614336,2022-03-13 20:39:29.958248,2022-03-13 20:39:35.724865,0 days 00:00:05.766617,1,0,1,0,2,8,COMPLETE
15,15,0.6174765936614336,2022-03-13 20:39:35.725887,2022-03-13 20:39:41.330349,0 days 00:00:05.604462,1,0,1,0,2,8,COMPLETE
16,16,0.26226204983843415,2022-03-13 20:39:41.331619,2022-03-13 20:39:51.998631,0 days 00:00:10.667012,1,0,0,0,3,8,COMPLETE
17,17,0.535967470785126,2022-03-13 20:39:51.999945,2022-03-13 20:39:55.262208,0 days 00:00:03.262263,1,0,1,1,2,6,COMPLETE
18,18,0.5750553060390822,2022-03-13 20:39:55.263464,2022-03-13 20:40:17.863531,0 days 00:00:22.600067,1,1,1,0,4,7,COMPLETE
19,19,0.2344703381496409,2022-03-13 20:40:17.864614,2022-03-13 20:40:18.709356,0 days 00:00:00.844742,1,0,0,0,2,5,COMPLETE
20,20,-0.5427324653124324,2022-03-13 20:40:18.710374,2022-03-13 20:40:19.374905,0 days 00:00:00.664531,1,0,1,1,1,0,COMPLETE
21,21,0.6174765936614336,2022-03-13 20:40:19.376231,2022-03-13 20:40:25.065006,0 days 00:00:05.688775,1,0,1,0,2,8,COMPLETE
22,22,0.6131982771312829,2022-03-13 20:40:25.066386,2022-03-13 20:40:33.227023,0 days 00:00:08.160637,1,0,1,0,4,8,COMPLETE
23,23,0.5930260111785028,2022-03-13 20:40:33.227990,2022-03-13 20:40:35.990991,0 days 00:00:02.763001,1,1,1,0,2,7,COMPLETE
24,24,0.26226204983843415,2022-03-13 20:40:35.992048,2022-03-13 20:40:46.671246,0 days 00:00:10.679198,1,0,0,0,3,8,COMPLETE
25,25,0.5926156969466564,2022-03-13 20:40:46.672576,2022-03-13 20:40:49.309340,0 days 00:00:02.636764,1,1,1,0,1,7,COMPLETE
26,26,0.5933140153663221,2022-03-13 20:40:49.310395,2022-03-13 20:40:59.173745,0 days 00:00:09.863350,1,0,1,0,8,5,COMPLETE
27,27,0.26446277528180173,2022-03-13 20:40:59.174903,2022-03-13 20:41:02.456885,0 days 00:00:03.281982,1,0,0,0,2,6,COMPLETE
28,28,0.5985320740331488,2022-03-13 20:41:02.457969,2022-03-13 20:41:08.339946,0 days 00:00:05.881977,1,1,1,0,4,8,COMPLETE
29,29,0.5923293070012,2022-03-13 20:41:08.341345,2022-03-13 20:41:11.211486,0 days 00:00:02.870141,1,0,2,0,0,7,COMPLETE
30,30,0.34754723183397684,2022-03-13 20:41:11.212769,2022-03-13 20:41:11.555319,0 days 00:00:00.342550,1,1,0,0,3,1,COMPLETE
31,31,0.6174765936614336,2022-03-13 20:41:11.556613,2022-03-13 20:41:17.256080,0 days 00:00:05.699467,1,0,1,0,2,8,COMPLETE
32,32,0.6205857921479982,2022-03-13 20:41:17.257179,2022-03-13 20:41:24.287117,0 days 00:00:07.029938,1,0,1,0,1,8,COMPLETE
33,33,0.6205857921479982,2022-03-13 20:41:24.288162,2022-03-13 20:41:31.353721,0 days 00:00:07.065559,1,0,1,0,1,8,COMPLETE
34,34,-0.1157950743775713,2022-03-13 20:41:31.354918,2022-03-13 20:41:37.141167,0 days 00:00:05.786249,0,0,1,0,1,7,COMPLETE
35,35,0.5924657518090776,2022-03-13 20:41:37.142234,2022-03-13 20:41:41.365453,0 days 00:00:04.223219,1,1,2,0,0,8,COMPLETE
36,36,0.605305948680456,2022-03-13 20:41:41.366667,2022-03-13 20:41:43.514508,0 days 00:00:02.147841,1,0,1,0,1,6,COMPLETE
37,37,0.08887919263741517,2022-03-13 20:41:43.515549,2022-03-13 20:41:50.129890,0 days 00:00:06.614341,0,0,2,0,1,7,COMPLETE
38,38,0.5017897942793136,2022-03-13 20:41:50.130912,2022-03-13 20:42:05.542558,0 days 00:00:15.411646,1,1,3,1,0,5,COMPLETE
39,39,-0.00830593989518813,2022-03-13 20:42:05.543720,2022-03-13 20:42:06.342081,0 days 00:00:00.798361,0,0,1,0,1,2,COMPLETE
40,40,0.5865571385948832,2022-03-13 20:42:06.343066,2022-03-13 20:42:17.554350,0 days 00:00:11.211284,1,1,2,0,3,7,COMPLETE
41,41,0.6174765936614336,2022-03-13 20:42:17.555858,2022-03-13 20:42:23.324070,0 days 00:00:05.768212,1,0,1,0,2,8,COMPLETE
42,42,0.6174765936614336,2022-03-13 20:42:23.325358,2022-03-13 20:42:29.192264,0 days 00:00:05.866906,1,0,1,0,2,8,COMPLETE
43,43,0.624483324090887,2022-03-13 20:42:29.193638,2022-03-13 20:42:44.554709,0 days 00:00:15.361071,1,0,1,0,3,8,COMPLETE
44,44,0.6167701511062174,2022-03-13 20:42:44.555941,2022-03-13 20:42:53.932737,0 days 00:00:09.376796,1,0,1,0,5,7,COMPLETE
45,45,0.5926772390610664,2022-03-13 20:42:53.933913,2022-03-13 20:42:57.774362,0 days 00:00:03.840449,1,0,1,0,3,4,COMPLETE
46,46,0.4823530015338299,2022-03-13 20:42:57.775400,2022-03-13 20:43:00.184227,0 days 00:00:02.408827,1,3,0,0,1,8,COMPLETE
47,47,0.5848910393611682,2022-03-13 20:43:00.185268,2022-03-13 20:43:14.261996,0 days 00:00:14.076728,1,0,2,0,3,7,COMPLETE
48,48,0.5326094172631637,2022-03-13 20:43:14.263242,2022-03-13 20:43:25.390519,0 days 00:00:11.127277,1,1,1,1,5,6,COMPLETE
49,49,0.6091733089152724,2022-03-13 20:43:25.391557,2022-03-13 20:43:27.886661,0 days 00:00:02.495104,1,0,1,0,0,8,COMPLETE
