,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.33819097918561836,2022-03-13 18:00:10.480873,2022-03-13 18:00:14.401421,0 days 00:00:03.920548,1,2,0,1,0,5,COMPLETE
1,1,0.4896538914654439,2022-03-13 18:00:14.402553,2022-03-13 18:00:27.478813,0 days 00:00:13.076260,1,3,2,1,5,6,COMPLETE
2,2,-0.05206750611874411,2022-03-13 18:00:27.479864,2022-03-13 18:00:27.688749,0 days 00:00:00.208885,0,1,0,0,3,0,COMPLETE
3,3,0.6368854841165201,2022-03-13 18:00:27.689932,2022-03-13 18:00:32.133579,0 days 00:00:04.443647,1,2,2,0,1,1,COMPLETE
4,4,-0.033160380984922355,2022-03-13 18:00:32.134565,2022-03-13 18:00:45.605655,0 days 00:00:13.471090,0,0,1,1,6,3,COMPLETE
5,5,0.5289728288685056,2022-03-13 18:00:45.606605,2022-03-13 18:00:51.043624,0 days 00:00:05.437019,1,3,0,0,6,6,COMPLETE
6,6,0.4894386177352603,2022-03-13 18:00:51.044927,2022-03-13 18:01:00.601215,0 days 00:00:09.556288,0,1,1,1,7,7,COMPLETE
7,7,0.24310789881835004,2022-03-13 18:01:00.602195,2022-03-13 18:01:01.289388,0 days 00:00:00.687193,0,2,0,0,0,7,COMPLETE
8,8,0.5952658617267694,2022-03-13 18:01:01.290375,2022-03-13 18:01:09.451877,0 days 00:00:08.161502,0,1,2,0,5,7,COMPLETE
9,9,0.5814615747235516,2022-03-13 18:01:09.453433,2022-03-13 18:01:11.974762,0 days 00:00:02.521329,0,1,3,0,1,1,COMPLETE
10,10,0.6327084194414996,2022-03-13 18:01:11.975677,2022-03-13 18:01:20.572492,0 days 00:00:08.596815,1,0,3,0,2,3,COMPLETE
11,11,0.6327084194414996,2022-03-13 18:01:20.573618,2022-03-13 18:01:29.107552,0 days 00:00:08.533934,1,0,3,0,2,3,COMPLETE
12,12,0.6409810837928098,2022-03-13 18:01:29.108519,2022-03-13 18:01:38.978846,0 days 00:00:09.870327,1,2,3,0,3,2,COMPLETE
13,13,0.6420467026653656,2022-03-13 18:01:38.979988,2022-03-13 18:01:45.614711,0 days 00:00:06.634723,1,2,2,0,3,1,COMPLETE
14,14,0.6152543477507333,2022-03-13 18:01:45.615803,2022-03-13 18:01:50.575229,0 days 00:00:04.959426,1,3,3,0,4,1,COMPLETE
15,15,0.637748051603589,2022-03-13 18:01:50.576190,2022-03-13 18:01:53.483107,0 days 00:00:02.906917,1,2,2,0,3,2,COMPLETE
16,16,0.64611485915418,2022-03-13 18:01:53.484062,2022-03-13 18:01:59.926510,0 days 00:00:06.442448,1,2,1,0,8,0,COMPLETE
