,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
40,40,0.2904351983143816,2022-03-13 17:39:42.840418,2022-03-13 17:39:43.044223,0 days 00:00:00.203805,1,0,0,0,5,1,COMPLETE
41,41,0.7275686725302757,2022-03-13 17:39:43.045331,2022-03-13 17:39:44.351089,0 days 00:00:01.305758,1,0,1,0,3,2,COMPLETE
42,42,0.731353475789547,2022-03-13 17:39:44.352057,2022-03-13 17:39:46.497799,0 days 00:00:02.145742,1,0,1,0,2,1,COMPLETE
43,43,0.7283650899498411,2022-03-13 17:39:46.499062,2022-03-13 17:39:47.481873,0 days 00:00:00.982811,1,0,1,0,3,0,COMPLETE
44,44,0.7251590530834318,2022-03-13 17:39:47.483187,2022-03-13 17:39:48.086719,0 days 00:00:00.603532,1,0,1,0,1,0,COMPLETE
45,45,0.7248983744450954,2022-03-13 17:39:48.087903,2022-03-13 17:39:49.173577,0 days 00:00:01.085674,1,1,1,0,2,0,COMPLETE
46,46,0.7003637302465946,2022-03-13 17:39:49.174678,2022-03-13 17:39:55.515020,0 days 00:00:06.340342,1,0,1,0,3,4,COMPLETE
47,47,0.6438714372632055,2022-03-13 17:39:55.516045,2022-03-13 17:39:56.205796,0 days 00:00:00.689751,1,3,0,0,2,0,COMPLETE
48,48,0.6393780320849763,2022-03-13 17:39:56.206781,2022-03-13 17:40:01.289163,0 days 00:00:05.082382,1,0,1,1,3,7,COMPLETE
49,49,-8.384271801266912,2022-03-13 17:40:01.290462,2022-03-13 17:40:01.548785,0 days 00:00:00.258323,0,0,1,0,1,1,COMPLETE
