,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.6537028737138894,2022-03-13 19:52:14.372539,2022-03-13 19:52:23.685435,0 days 00:00:09.312896,0,0,2,1,8,4,COMPLETE
1,1,0.747101641105858,2022-03-13 19:52:23.686426,2022-03-13 19:52:35.884296,0 days 00:00:12.197870,1,3,0,0,7,6,COMPLETE
2,2,0.779316447772528,2022-03-13 19:52:35.885723,2022-03-13 19:52:41.441830,0 days 00:00:05.556107,1,1,1,1,6,1,COMPLETE
3,3,0.80546408249679,2022-03-13 19:52:41.442854,2022-03-13 19:52:52.472632,0 days 00:00:11.029778,1,0,2,0,5,7,COMPLETE
4,4,0.8019716218011766,2022-03-13 19:52:52.473663,2022-03-13 19:52:53.264561,0 days 00:00:00.790898,0,1,1,0,2,2,COMPLETE
5,5,0.6244619728887175,2022-03-13 19:52:53.265477,2022-03-13 19:52:57.451330,0 days 00:00:04.185853,0,1,0,0,3,7,COMPLETE
6,6,0.8034755656543927,2022-03-13 19:52:57.452176,2022-03-13 19:53:06.743800,0 days 00:00:09.291624,1,3,3,0,6,1,COMPLETE
7,7,0.6406702496732875,2022-03-13 19:53:06.745139,2022-03-13 19:53:22.924700,0 days 00:00:16.179561,1,0,0,1,7,7,COMPLETE
8,8,0.7841858292995022,2022-03-13 19:53:22.926285,2022-03-13 19:53:30.141380,0 days 00:00:07.215095,0,3,3,1,1,3,COMPLETE
9,9,0.6948115853829919,2022-03-13 19:53:30.142786,2022-03-13 19:53:31.802119,0 days 00:00:01.659333,0,2,0,0,2,2,COMPLETE
10,10,0.8025161973672776,2022-03-13 19:53:31.803443,2022-03-13 19:53:36.669507,0 days 00:00:04.866064,1,0,2,0,4,8,COMPLETE
11,11,0.8046733132896797,2022-03-13 19:53:36.670733,2022-03-13 19:54:08.011298,0 days 00:00:31.340565,1,2,3,0,5,5,COMPLETE
12,12,0.8046733132896797,2022-03-13 19:54:08.012771,2022-03-13 19:54:38.901533,0 days 00:00:30.888762,1,2,3,0,5,5,COMPLETE
13,13,0.7971923358893005,2022-03-13 19:54:38.902808,2022-03-13 19:54:58.043934,0 days 00:00:19.141126,1,2,2,0,4,5,COMPLETE
14,14,0.8026719989338615,2022-03-13 19:54:58.045259,2022-03-13 19:55:33.849146,0 days 00:00:35.803887,1,1,3,0,5,8,COMPLETE
15,15,0.8047354971456923,2022-03-13 19:55:33.850417,2022-03-13 19:55:42.088122,0 days 00:00:08.237705,1,2,2,0,0,6,COMPLETE
16,16,0.8048342618410466,2022-03-13 19:55:42.089163,2022-03-13 19:55:44.032660,0 days 00:00:01.943497,1,0,1,0,0,6,COMPLETE
17,17,0.8008081420126468,2022-03-13 19:55:44.033883,2022-03-13 19:55:52.470953,0 days 00:00:08.437070,1,0,1,1,0,7,COMPLETE
18,18,0.8019168626659393,2022-03-13 19:55:52.472073,2022-03-13 19:55:54.817274,0 days 00:00:02.345201,1,0,1,0,3,6,COMPLETE
19,19,0.801083497089821,2022-03-13 19:55:54.818325,2022-03-13 19:55:56.302230,0 days 00:00:01.483905,1,0,1,0,1,4,COMPLETE
20,20,0.7742256181458264,2022-03-13 19:55:56.303340,2022-03-13 19:56:14.453763,0 days 00:00:18.150423,0,1,2,1,3,8,COMPLETE
21,21,0.8047354971456923,2022-03-13 19:56:14.454962,2022-03-13 19:56:23.200619,0 days 00:00:08.745657,1,2,2,0,0,6,COMPLETE
22,22,0.8033625947533647,2022-03-13 19:56:23.201791,2022-03-13 19:56:30.716804,0 days 00:00:07.515013,1,1,2,0,1,6,COMPLETE
23,23,0.8047642814974822,2022-03-13 19:56:30.718002,2022-03-13 19:56:34.183974,0 days 00:00:03.465972,1,0,2,0,0,7,COMPLETE
24,24,0.8043559132648105,2022-03-13 19:56:34.185444,2022-03-13 19:56:36.522846,0 days 00:00:02.337402,1,0,1,0,2,7,COMPLETE
25,25,0.8046179506001521,2022-03-13 19:56:36.524104,2022-03-13 19:56:40.738206,0 days 00:00:04.214102,1,0,2,0,1,8,COMPLETE
26,26,0.8048073891400378,2022-03-13 19:56:40.739403,2022-03-13 19:56:42.714289,0 days 00:00:01.974886,1,0,1,0,0,7,COMPLETE
27,27,0.7987476874328043,2022-03-13 19:56:42.715349,2022-03-13 19:56:48.751622,0 days 00:00:06.036273,1,0,1,0,4,5,COMPLETE
28,28,0.8047756457839522,2022-03-13 19:56:48.752944,2022-03-13 19:56:51.441614,0 days 00:00:02.688670,1,1,1,0,6,0,COMPLETE
