,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.38634906706715033,2022-03-13 15:39:19.259773,2022-03-13 15:39:31.020815,0 days 00:00:11.761042,1,0,3,1,2,6,COMPLETE
1,1,0.30991953193439437,2022-03-13 15:39:31.021947,2022-03-13 15:39:34.434717,0 days 00:00:03.412770,0,2,0,1,7,1,COMPLETE
2,2,0.5403354154968039,2022-03-13 15:39:34.435956,2022-03-13 15:39:44.311385,0 days 00:00:09.875429,1,1,3,0,2,8,COMPLETE
3,3,0.07263724910899694,2022-03-13 15:39:44.312562,2022-03-13 15:40:07.986020,0 days 00:00:23.673458,0,0,3,0,5,8,COMPLETE
4,4,0.16171885508117445,2022-03-13 15:40:07.987320,2022-03-13 15:40:08.268961,0 days 00:00:00.281641,0,2,0,0,2,1,COMPLETE
5,5,0.5408748422902296,2022-03-13 15:40:08.270431,2022-03-13 15:40:15.402606,0 days 00:00:07.132175,1,1,1,0,6,8,COMPLETE
6,6,0.3352580372895583,2022-03-13 15:40:15.403705,2022-03-13 15:40:40.266781,0 days 00:00:24.863076,0,2,3,1,7,7,COMPLETE
7,7,0.47145652893529866,2022-03-13 15:40:40.268064,2022-03-13 15:40:45.835209,0 days 00:00:05.567145,0,1,2,0,8,3,COMPLETE
8,8,0.4501780659124476,2022-03-13 15:40:45.836221,2022-03-13 15:40:47.008476,0 days 00:00:01.172255,0,2,1,0,3,1,COMPLETE
9,9,0.02972020906804207,2022-03-13 15:40:47.009541,2022-03-13 15:40:48.373524,0 days 00:00:01.363983,0,1,0,0,2,6,COMPLETE
10,10,0.42202557254655015,2022-03-13 15:40:48.374499,2022-03-13 15:40:57.605269,0 days 00:00:09.230770,1,3,1,1,0,4,COMPLETE
11,11,0.5224615267249072,2022-03-13 15:40:57.606494,2022-03-13 15:41:14.423576,0 days 00:00:16.817082,1,1,2,0,5,8,COMPLETE
12,12,0.535715207461781,2022-03-13 15:41:14.424491,2022-03-13 15:41:17.979340,0 days 00:00:03.554849,1,0,2,0,0,6,COMPLETE
13,13,0.5360154391592813,2022-03-13 15:41:17.980345,2022-03-13 15:41:29.927049,0 days 00:00:11.946704,1,1,1,0,5,8,COMPLETE
14,14,0.47382972978610505,2022-03-13 15:41:29.928186,2022-03-13 15:41:46.379617,0 days 00:00:16.451431,1,1,2,0,4,5,COMPLETE
15,15,0.5324081704976117,2022-03-13 15:41:46.380752,2022-03-13 15:41:58.502485,0 days 00:00:12.121733,1,3,1,0,6,3,COMPLETE
16,16,0.5379294953297568,2022-03-13 15:41:58.503810,2022-03-13 15:42:09.068179,0 days 00:00:10.564369,1,0,3,0,3,7,COMPLETE
17,17,0.3996009831403807,2022-03-13 15:42:09.069346,2022-03-13 15:42:19.963003,0 days 00:00:10.893657,1,1,2,1,1,7,COMPLETE
18,18,0.45586296405654936,2022-03-13 15:42:19.964315,2022-03-13 15:42:34.054452,0 days 00:00:14.090137,1,2,1,0,4,5,COMPLETE
