,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.501705624780874,2022-03-13 17:17:27.304604,2022-03-13 17:17:35.337673,0 days 00:00:08.033069,1,2,1,0,7,0,COMPLETE
1,1,0.47743197340480203,2022-03-13 17:17:35.338770,2022-03-13 17:18:05.783992,0 days 00:00:30.445222,1,1,2,1,4,7,COMPLETE
2,2,0.4874639350134783,2022-03-13 17:18:05.785774,2022-03-13 17:18:08.900007,0 days 00:00:03.114233,1,0,2,1,0,2,COMPLETE
3,3,0.5138759713415313,2022-03-13 17:18:08.901730,2022-03-13 17:18:12.704618,0 days 00:00:03.802888,1,3,3,0,3,1,COMPLETE
4,4,0.46939859435038067,2022-03-13 17:18:12.705823,2022-03-13 17:18:42.807126,0 days 00:00:30.101303,1,1,1,1,7,8,COMPLETE
5,5,0.1547675044290595,2022-03-13 17:18:42.808225,2022-03-13 17:18:43.010861,0 days 00:00:00.202636,1,0,0,0,1,3,COMPLETE
6,6,0.5360743118328674,2022-03-13 17:18:43.011964,2022-03-13 17:18:44.871368,0 days 00:00:01.859404,0,1,2,0,6,0,COMPLETE
7,7,0.4574987562212457,2022-03-13 17:18:44.872640,2022-03-13 17:18:57.026320,0 days 00:00:12.153680,1,2,1,1,4,8,COMPLETE
8,8,0.4312184234558216,2022-03-13 17:18:57.027471,2022-03-13 17:19:00.783940,0 days 00:00:03.756469,1,3,0,0,5,7,COMPLETE
9,9,0.4540417829177502,2022-03-13 17:19:00.785133,2022-03-13 17:19:15.617864,0 days 00:00:14.832731,0,3,2,1,5,7,COMPLETE
10,10,0.535271583151095,2022-03-13 17:19:15.619095,2022-03-13 17:19:33.141239,0 days 00:00:17.522144,0,1,3,0,8,5,COMPLETE
11,11,0.535271583151095,2022-03-13 17:19:33.142255,2022-03-13 17:19:50.273997,0 days 00:00:17.131742,0,1,3,0,8,5,COMPLETE
12,12,0.535271583151095,2022-03-13 17:19:50.275077,2022-03-13 17:20:07.623821,0 days 00:00:17.348744,0,1,3,0,8,5,COMPLETE
13,13,-4.947436916388488e+23,2022-03-13 17:20:07.625242,2022-03-13 17:20:46.288301,0 days 00:00:38.663059,0,0,3,0,6,4,COMPLETE
14,14,0.5030733441108209,2022-03-13 17:20:46.289321,2022-03-13 17:20:52.472860,0 days 00:00:06.183539,0,2,2,0,6,5,COMPLETE
15,15,0.528751458837893,2022-03-13 17:20:52.474059,2022-03-13 17:20:56.549103,0 days 00:00:04.075044,0,1,3,0,8,0,COMPLETE
