,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.5182259415300194,2022-03-13 17:40:01.557346,2022-03-13 17:40:30.153119,0 days 00:00:28.595773,0,0,3,1,5,6,COMPLETE
1,1,0.09896472685216051,2022-03-13 17:40:30.154130,2022-03-13 17:40:44.816402,0 days 00:00:14.662272,0,0,3,0,4,7,COMPLETE
2,2,0.4411850436693886,2022-03-13 17:40:44.817706,2022-03-13 17:40:54.514898,0 days 00:00:09.697192,1,3,0,1,6,2,COMPLETE
3,3,0.5826911746872978,2022-03-13 17:40:54.516062,2022-03-13 17:41:06.255670,0 days 00:00:11.739608,0,1,1,0,8,6,COMPLETE
4,4,0.5885584090730436,2022-03-13 17:41:06.256860,2022-03-13 17:41:06.456327,0 days 00:00:00.199467,0,1,1,0,0,0,COMPLETE
5,5,0.34831182000870686,2022-03-13 17:41:06.457465,2022-03-13 17:41:08.459864,0 days 00:00:02.002399,1,2,0,1,0,4,COMPLETE
6,6,0.25503606706219617,2022-03-13 17:41:08.460937,2022-03-13 17:41:10.023893,0 days 00:00:01.562956,1,1,0,1,1,3,COMPLETE
7,7,0.5094433720553546,2022-03-13 17:41:10.025189,2022-03-13 17:41:38.459224,0 days 00:00:28.434035,1,1,3,1,7,6,COMPLETE
8,8,-0.03212503282931589,2022-03-13 17:41:38.460529,2022-03-13 17:41:41.881774,0 days 00:00:03.421245,0,0,1,1,3,5,COMPLETE
9,9,0.506409916162657,2022-03-13 17:41:41.882810,2022-03-13 17:41:48.456760,0 days 00:00:06.573950,1,1,1,1,6,4,COMPLETE
10,10,0.5893885206257755,2022-03-13 17:41:48.458358,2022-03-13 17:41:50.883853,0 days 00:00:02.425495,0,3,2,0,2,0,COMPLETE
11,11,0.5893885206257755,2022-03-13 17:41:50.884870,2022-03-13 17:41:53.305888,0 days 00:00:02.421018,0,3,2,0,2,0,COMPLETE
12,12,0.5893885206257755,2022-03-13 17:41:53.307220,2022-03-13 17:41:55.703919,0 days 00:00:02.396699,0,3,2,0,2,0,COMPLETE
13,13,0.5895378634165656,2022-03-13 17:41:55.704911,2022-03-13 17:41:58.407273,0 days 00:00:02.702362,0,3,2,0,2,1,COMPLETE
14,14,0.5896195652343745,2022-03-13 17:41:58.408314,2022-03-13 17:42:03.433020,0 days 00:00:05.024706,0,2,2,0,3,2,COMPLETE
15,15,0.5302563140367171,2022-03-13 17:42:03.434118,2022-03-13 17:42:08.901658,0 days 00:00:05.467540,0,2,2,0,4,2,COMPLETE
16,16,0.5896195652343745,2022-03-13 17:42:08.902635,2022-03-13 17:42:13.931728,0 days 00:00:05.029093,0,2,2,0,3,2,COMPLETE
17,17,0.5202823604538616,2022-03-13 17:42:13.932855,2022-03-13 17:42:20.312670,0 days 00:00:06.379815,0,2,3,0,3,2,COMPLETE
18,18,0.3346658197983673,2022-03-13 17:42:20.313684,2022-03-13 17:42:36.107824,0 days 00:00:15.794140,0,2,2,0,4,3,COMPLETE
19,19,0.6074579630685566,2022-03-13 17:42:36.108820,2022-03-13 17:42:55.303682,0 days 00:00:19.194862,0,2,1,0,5,8,COMPLETE
20,20,0.626508704666942,2022-03-13 17:42:55.304644,2022-03-13 17:43:45.723732,0 days 00:00:50.419088,1,2,1,0,5,8,COMPLETE
21,21,0.626508704666942,2022-03-13 17:43:45.724846,2022-03-13 17:44:34.482785,0 days 00:00:48.757939,1,2,1,0,5,8,COMPLETE
22,22,0.626508704666942,2022-03-13 17:44:34.483986,2022-03-13 17:45:24.157825,0 days 00:00:49.673839,1,2,1,0,5,8,COMPLETE
23,23,0.6378712466690752,2022-03-13 17:45:24.159037,2022-03-13 17:45:32.840176,0 days 00:00:08.681139,1,2,1,0,6,8,COMPLETE
24,24,0.44825978244850473,2022-03-13 17:45:32.841416,2022-03-13 17:45:43.707825,0 days 00:00:10.866409,1,2,0,0,6,7,COMPLETE
25,25,0.6611693227448079,2022-03-13 17:45:43.708800,2022-03-13 17:46:00.470464,0 days 00:00:16.761664,1,1,1,0,7,8,COMPLETE
26,26,0.6469670233624242,2022-03-13 17:46:00.471559,2022-03-13 17:46:05.341561,0 days 00:00:04.870002,1,1,1,0,7,7,COMPLETE
27,27,0.3514224935768695,2022-03-13 17:46:05.342525,2022-03-13 17:46:20.652901,0 days 00:00:15.310376,1,1,0,0,8,7,COMPLETE
28,28,0.6469670233624242,2022-03-13 17:46:20.654169,2022-03-13 17:46:25.438236,0 days 00:00:04.784067,1,1,1,0,7,7,COMPLETE
29,29,0.5203582241463728,2022-03-13 17:46:25.439741,2022-03-13 17:46:57.051787,0 days 00:00:31.612046,1,0,1,0,7,5,COMPLETE
30,30,0.27925441737454204,2022-03-13 17:46:57.053030,2022-03-13 17:47:05.866131,0 days 00:00:08.813101,1,0,0,0,7,7,COMPLETE
31,31,0.6469670233624242,2022-03-13 17:47:05.867297,2022-03-13 17:47:10.655164,0 days 00:00:04.787867,1,1,1,0,7,7,COMPLETE
32,32,0.6441849820204715,2022-03-13 17:47:10.656312,2022-03-13 17:47:22.794467,0 days 00:00:12.138155,1,1,1,0,8,7,COMPLETE
33,33,0.6401042977737226,2022-03-13 17:47:22.795877,2022-03-13 17:47:34.974770,0 days 00:00:12.178893,1,1,1,0,7,6,COMPLETE
34,34,0.3592946520187388,2022-03-13 17:47:34.975816,2022-03-13 17:47:52.310525,0 days 00:00:17.334709,1,1,1,0,7,5,COMPLETE
35,35,0.6305406329659231,2022-03-13 17:47:52.311534,2022-03-13 17:48:08.438829,0 days 00:00:16.127295,1,0,1,0,8,6,COMPLETE
36,36,0.376149819245829,2022-03-13 17:48:08.440192,2022-03-13 17:48:13.218322,0 days 00:00:04.778130,1,1,0,0,6,6,COMPLETE
37,37,0.5179966292390272,2022-03-13 17:48:13.219487,2022-03-13 17:48:31.048852,0 days 00:00:17.829365,1,1,1,1,7,7,COMPLETE
38,38,0.3514224935768695,2022-03-13 17:48:31.049920,2022-03-13 17:48:46.387321,0 days 00:00:15.337401,1,1,0,0,8,7,COMPLETE
39,39,0.6226815777462569,2022-03-13 17:48:46.388338,2022-03-13 17:49:09.992335,0 days 00:00:23.603997,1,1,1,0,6,8,COMPLETE
40,40,0.5339593125921868,2022-03-13 17:49:09.993438,2022-03-13 17:49:25.218736,0 days 00:00:15.225298,1,0,1,1,7,6,COMPLETE
41,41,0.6441849820204715,2022-03-13 17:49:25.219863,2022-03-13 17:49:37.198516,0 days 00:00:11.978653,1,1,1,0,8,7,COMPLETE
42,42,0.6441849820204715,2022-03-13 17:49:37.199896,2022-03-13 17:49:49.264292,0 days 00:00:12.064396,1,1,1,0,8,7,COMPLETE
43,43,0.6155486049454781,2022-03-13 17:49:49.265740,2022-03-13 17:50:45.693386,0 days 00:00:56.427646,1,1,1,0,8,5,COMPLETE
44,44,0.6469670233624242,2022-03-13 17:50:45.694426,2022-03-13 17:50:50.729250,0 days 00:00:05.034824,1,1,1,0,7,7,COMPLETE
45,45,0.44412120417432266,2022-03-13 17:50:50.730365,2022-03-13 17:51:01.415520,0 days 00:00:10.685155,1,1,0,0,7,6,COMPLETE
46,46,0.6226815777462569,2022-03-13 17:51:01.416607,2022-03-13 17:51:24.603783,0 days 00:00:23.187176,1,1,1,0,6,8,COMPLETE
47,47,0.5138152218699832,2022-03-13 17:51:24.605108,2022-03-13 17:51:31.715914,0 days 00:00:07.110806,1,0,1,0,7,7,COMPLETE
48,48,0.5073351179886374,2022-03-13 17:51:31.717042,2022-03-13 17:51:41.843050,0 days 00:00:10.126008,1,1,2,1,6,8,COMPLETE
49,49,0.6398008801250608,2022-03-13 17:51:41.844190,2022-03-13 17:51:44.492104,0 days 00:00:02.647914,1,0,1,0,5,6,COMPLETE
