,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.16825590251187017,2022-03-13 18:32:01.344017,2022-03-13 18:32:02.291962,0 days 00:00:00.947945,1,1,0,1,7,0,COMPLETE
1,1,-0.6748208967685205,2022-03-13 18:32:02.293216,2022-03-13 18:32:05.146208,0 days 00:00:02.852992,1,1,3,1,0,0,COMPLETE
2,2,0.5248537885087315,2022-03-13 18:32:05.147216,2022-03-13 18:32:07.534320,0 days 00:00:02.387104,1,3,0,0,8,1,COMPLETE
3,3,0.6229455378791604,2022-03-13 18:32:07.535468,2022-03-13 18:32:09.920745,0 days 00:00:02.385277,1,2,2,0,0,1,COMPLETE
4,4,0.49199478225207827,2022-03-13 18:32:09.921944,2022-03-13 18:32:12.619135,0 days 00:00:02.697191,0,2,0,1,3,3,COMPLETE
5,5,0.6067418697506638,2022-03-13 18:32:12.620465,2022-03-13 18:32:19.313192,0 days 00:00:06.692727,0,1,1,0,6,4,COMPLETE
6,6,0.6278020414038912,2022-03-13 18:32:19.314263,2022-03-13 18:32:35.908392,0 days 00:00:16.594129,0,2,3,0,2,7,COMPLETE
7,7,0.20266019817891034,2022-03-13 18:32:35.909724,2022-03-13 18:32:58.376245,0 days 00:00:22.466521,0,0,3,1,4,4,COMPLETE
8,8,0.5930736328652059,2022-03-13 18:32:58.377296,2022-03-13 18:33:00.004828,0 days 00:00:01.627532,0,2,1,0,2,4,COMPLETE
9,9,0.6263480407168633,2022-03-13 18:33:00.006210,2022-03-13 18:33:08.357479,0 days 00:00:08.351269,1,3,1,0,1,8,COMPLETE
10,10,0.15045968974216628,2022-03-13 18:33:08.358892,2022-03-13 18:33:17.878102,0 days 00:00:09.519210,0,0,2,0,5,8,COMPLETE
11,11,0.6246084573404773,2022-03-13 18:33:17.879136,2022-03-13 18:33:29.661532,0 days 00:00:11.782396,1,3,2,0,2,8,COMPLETE
12,12,0.5949547037642223,2022-03-13 18:33:29.662834,2022-03-13 18:33:33.377283,0 days 00:00:03.714449,0,3,1,0,1,6,COMPLETE
13,13,0.625955942220522,2022-03-13 18:33:33.378349,2022-03-13 18:33:58.931346,0 days 00:00:25.552997,1,3,3,0,3,6,COMPLETE
14,14,0.6241970655904229,2022-03-13 18:33:58.932332,2022-03-13 18:34:04.974674,0 days 00:00:06.042342,1,2,2,0,1,6,COMPLETE
15,15,0.6216693813158093,2022-03-13 18:34:04.975759,2022-03-13 18:34:14.551778,0 days 00:00:09.576019,0,3,1,0,2,7,COMPLETE
16,16,0.6554635026099782,2022-03-13 18:34:14.552933,2022-03-13 18:34:44.583479,0 days 00:00:30.030546,0,2,3,0,4,7,COMPLETE
17,17,0.5400620960385769,2022-03-13 18:34:44.584487,2022-03-13 18:35:04.537631,0 days 00:00:19.953144,0,2,3,1,5,7,COMPLETE
18,18,0.6296959076920408,2022-03-13 18:35:04.539023,2022-03-13 18:35:27.313477,0 days 00:00:22.774454,0,1,3,0,4,5,COMPLETE
19,19,0.6296959076920408,2022-03-13 18:35:27.314692,2022-03-13 18:35:49.964110,0 days 00:00:22.649418,0,1,3,0,4,5,COMPLETE
20,20,0.14076094076663748,2022-03-13 18:35:49.965366,2022-03-13 18:36:02.569725,0 days 00:00:12.604359,0,0,2,1,5,3,COMPLETE
21,21,0.6296959076920408,2022-03-13 18:36:02.570740,2022-03-13 18:36:25.305152,0 days 00:00:22.734412,0,1,3,0,4,5,COMPLETE
22,22,0.6296959076920408,2022-03-13 18:36:25.306292,2022-03-13 18:36:47.885991,0 days 00:00:22.579699,0,1,3,0,4,5,COMPLETE
23,23,0.6269315228657856,2022-03-13 18:36:47.887072,2022-03-13 18:37:13.330700,0 days 00:00:25.443628,0,1,3,0,6,5,COMPLETE
24,24,0.62322345622643,2022-03-13 18:37:13.331673,2022-03-13 18:37:18.878916,0 days 00:00:05.547243,0,1,2,0,3,3,COMPLETE
25,25,0.16065607610307064,2022-03-13 18:37:18.879849,2022-03-13 18:37:31.825653,0 days 00:00:12.945804,0,0,3,0,4,6,COMPLETE
26,26,0.6092194335492261,2022-03-13 18:37:31.826793,2022-03-13 18:37:59.933340,0 days 00:00:28.106547,0,1,3,0,5,5,COMPLETE
27,27,0.6397214008245049,2022-03-13 18:37:59.934424,2022-03-13 18:38:17.382148,0 days 00:00:17.447724,0,2,2,0,6,7,COMPLETE
28,28,0.6397214008245049,2022-03-13 18:38:17.383151,2022-03-13 18:38:34.941676,0 days 00:00:17.558525,0,2,2,0,6,7,COMPLETE
29,29,0.5508064606439309,2022-03-13 18:38:34.942745,2022-03-13 18:39:03.474775,0 days 00:00:28.532030,0,2,2,1,7,7,COMPLETE
30,30,0.6450302479346732,2022-03-13 18:39:03.475952,2022-03-13 18:39:29.335066,0 days 00:00:25.859114,0,2,2,0,7,8,COMPLETE
31,31,0.6450302479346732,2022-03-13 18:39:29.336243,2022-03-13 18:39:55.216096,0 days 00:00:25.879853,0,2,2,0,7,8,COMPLETE
32,32,0.631839992989294,2022-03-13 18:39:55.217235,2022-03-13 18:40:16.798081,0 days 00:00:21.580846,0,2,2,0,8,8,COMPLETE
33,33,0.6450302479346732,2022-03-13 18:40:16.799064,2022-03-13 18:40:42.754408,0 days 00:00:25.955344,0,2,2,0,7,8,COMPLETE
34,34,0.6450302479346732,2022-03-13 18:40:42.756019,2022-03-13 18:41:08.762408,0 days 00:00:26.006389,0,2,2,0,7,8,COMPLETE
35,35,0.3487863373815383,2022-03-13 18:41:08.763644,2022-03-13 18:41:22.300660,0 days 00:00:13.537016,0,2,0,0,8,8,COMPLETE
36,36,0.6312238604997427,2022-03-13 18:41:22.301782,2022-03-13 18:41:46.311126,0 days 00:00:24.009344,0,2,1,0,7,8,COMPLETE
37,37,0.5480859523884472,2022-03-13 18:41:46.312347,2022-03-13 18:42:15.386659,0 days 00:00:29.074312,0,2,2,1,8,7,COMPLETE
38,38,0.6232338583694108,2022-03-13 18:42:15.387801,2022-03-13 18:42:28.475982,0 days 00:00:13.088181,1,3,2,0,7,0,COMPLETE
39,39,0.6033035019767506,2022-03-13 18:42:28.477117,2022-03-13 18:42:32.216730,0 days 00:00:03.739613,0,2,1,0,6,2,COMPLETE
40,40,0.631839992989294,2022-03-13 18:42:32.217877,2022-03-13 18:42:54.169063,0 days 00:00:21.951186,0,2,2,0,8,8,COMPLETE
41,41,0.6450302479346732,2022-03-13 18:42:54.170255,2022-03-13 18:43:19.970395,0 days 00:00:25.800140,0,2,2,0,7,8,COMPLETE
42,42,0.6450302479346732,2022-03-13 18:43:19.971444,2022-03-13 18:43:45.736387,0 days 00:00:25.764943,0,2,2,0,7,8,COMPLETE
43,43,0.6397214008245049,2022-03-13 18:43:45.737374,2022-03-13 18:44:03.260115,0 days 00:00:17.522741,0,2,2,0,6,7,COMPLETE
