,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.29062370340151156,2022-03-13 17:27:55.767355,2022-03-13 17:27:55.885917,0 days 00:00:00.118562,1,0,0,0,1,0,COMPLETE
1,1,0.6458443035075521,2022-03-13 17:27:55.886910,2022-03-13 17:28:06.009215,0 days 00:00:10.122305,0,1,3,1,1,4,COMPLETE
2,2,0.6405766336805221,2022-03-13 17:28:06.010204,2022-03-13 17:28:26.335503,0 days 00:00:20.325299,0,2,3,1,5,7,COMPLETE
3,3,0.3910821649003382,2022-03-13 17:28:26.336695,2022-03-13 17:28:39.375061,0 days 00:00:13.038366,0,0,3,0,8,2,COMPLETE
4,4,0.3914780785562607,2022-03-13 17:28:39.376554,2022-03-13 17:28:39.691682,0 days 00:00:00.315128,0,1,0,1,1,1,COMPLETE
5,5,0.7009337648395499,2022-03-13 17:28:39.692692,2022-03-13 17:28:42.829044,0 days 00:00:03.136352,0,2,2,0,2,3,COMPLETE
6,6,0.6384382679314875,2022-03-13 17:28:42.830453,2022-03-13 17:29:14.319762,0 days 00:00:31.489309,1,2,3,1,5,6,COMPLETE
7,7,0.6444734732278892,2022-03-13 17:29:14.320756,2022-03-13 17:29:16.909392,0 days 00:00:02.588636,1,3,0,0,4,2,COMPLETE
8,8,0.6426718003737567,2022-03-13 17:29:16.910383,2022-03-13 17:29:33.204521,0 days 00:00:16.294138,1,0,1,1,8,5,COMPLETE
9,9,-0.16600924975917652,2022-03-13 17:29:33.205578,2022-03-13 17:29:34.083742,0 days 00:00:00.878164,0,2,0,1,4,0,COMPLETE
10,10,0.6981094450027019,2022-03-13 17:29:34.084880,2022-03-13 17:29:38.684445,0 days 00:00:04.599565,0,3,2,0,3,4,COMPLETE
11,11,0.6981094450027019,2022-03-13 17:29:38.685756,2022-03-13 17:29:43.215252,0 days 00:00:04.529496,0,3,2,0,3,4,COMPLETE
12,12,0.6963259567498952,2022-03-13 17:29:43.216271,2022-03-13 17:29:47.844315,0 days 00:00:04.628044,0,3,2,0,2,3,COMPLETE
13,13,0.716076737838049,2022-03-13 17:29:47.845432,2022-03-13 17:30:02.385991,0 days 00:00:14.540559,0,3,2,0,3,8,COMPLETE
14,14,0.6951828194831766,2022-03-13 17:30:02.386991,2022-03-13 17:30:04.675129,0 days 00:00:02.288138,0,2,1,0,0,8,COMPLETE
15,15,0.7155349117822541,2022-03-13 17:30:04.676274,2022-03-13 17:30:26.033744,0 days 00:00:21.357470,0,1,2,0,6,8,COMPLETE
16,16,0.7048203904622408,2022-03-13 17:30:26.034880,2022-03-13 17:30:35.946595,0 days 00:00:09.911715,0,1,1,0,6,8,COMPLETE
17,17,0.7287124772960495,2022-03-13 17:30:35.947592,2022-03-13 17:30:53.010834,0 days 00:00:17.063242,1,1,2,0,6,6,COMPLETE
18,18,0.721678788456235,2022-03-13 17:30:53.011988,2022-03-13 17:30:56.882594,0 days 00:00:03.870606,1,1,1,0,7,6,COMPLETE
19,19,0.721678788456235,2022-03-13 17:30:56.883613,2022-03-13 17:31:00.740552,0 days 00:00:03.856939,1,1,1,0,7,6,COMPLETE
20,20,0.7293152467097084,2022-03-13 17:31:00.742066,2022-03-13 17:31:07.552913,0 days 00:00:06.810847,1,0,1,0,7,6,COMPLETE
21,21,0.7293152467097084,2022-03-13 17:31:07.554339,2022-03-13 17:31:14.403356,0 days 00:00:06.849017,1,0,1,0,7,6,COMPLETE
22,22,0.7474892305434215,2022-03-13 17:31:14.404529,2022-03-13 17:31:25.389765,0 days 00:00:10.985236,1,0,1,0,7,5,COMPLETE
23,23,0.7474892305434215,2022-03-13 17:31:25.390884,2022-03-13 17:31:36.303998,0 days 00:00:10.913114,1,0,1,0,7,5,COMPLETE
24,24,0.7322793865593977,2022-03-13 17:31:36.304948,2022-03-13 17:31:47.251815,0 days 00:00:10.946867,1,0,1,0,8,5,COMPLETE
25,25,0.7322793865593977,2022-03-13 17:31:47.252961,2022-03-13 17:31:58.163454,0 days 00:00:10.910493,1,0,1,0,8,5,COMPLETE
26,26,0.35726229025332334,2022-03-13 17:31:58.164996,2022-03-13 17:32:03.376462,0 days 00:00:05.211466,1,0,0,0,8,5,COMPLETE
27,27,0.723418833677462,2022-03-13 17:32:03.377501,2022-03-13 17:32:13.425294,0 days 00:00:10.047793,1,0,1,0,5,5,COMPLETE
28,28,0.6870160565804266,2022-03-13 17:32:13.426507,2022-03-13 17:32:22.369857,0 days 00:00:08.943350,1,0,1,0,6,3,COMPLETE
29,29,0.2296487755593125,2022-03-13 17:32:22.370968,2022-03-13 17:32:28.126338,0 days 00:00:05.755370,1,0,0,0,7,7,COMPLETE
30,30,-6.320804461165429e+69,2022-03-13 17:32:28.127261,2022-03-13 17:32:36.687717,0 days 00:00:08.560456,1,0,0,0,8,4,COMPLETE
31,31,0.7322793865593977,2022-03-13 17:32:36.688657,2022-03-13 17:32:47.682770,0 days 00:00:10.994113,1,0,1,0,8,5,COMPLETE
32,32,0.7474892305434215,2022-03-13 17:32:47.683935,2022-03-13 17:32:58.688647,0 days 00:00:11.004712,1,0,1,0,7,5,COMPLETE
33,33,0.6815152948845771,2022-03-13 17:32:58.690072,2022-03-13 17:33:25.402108,0 days 00:00:26.712036,1,0,1,0,7,4,COMPLETE
34,34,0.7255355949650095,2022-03-13 17:33:25.403174,2022-03-13 17:33:28.823668,0 days 00:00:03.420494,1,0,1,0,5,7,COMPLETE
35,35,0.6444922500998562,2022-03-13 17:33:28.824634,2022-03-13 17:33:34.366757,0 days 00:00:05.542123,1,1,1,1,6,5,COMPLETE
36,36,0.2296487755593125,2022-03-13 17:33:34.367865,2022-03-13 17:33:40.145143,0 days 00:00:05.777278,1,0,0,0,7,7,COMPLETE
37,37,-6.429258687035476e+60,2022-03-13 17:33:40.146191,2022-03-13 17:34:16.218720,0 days 00:00:36.072529,1,1,1,0,8,4,COMPLETE
38,38,0.6412079719632948,2022-03-13 17:34:16.219730,2022-03-13 17:34:24.443854,0 days 00:00:08.224124,1,0,2,1,6,3,COMPLETE
39,39,0.2930938948962606,2022-03-13 17:34:24.444968,2022-03-13 17:34:24.751595,0 days 00:00:00.306627,1,0,0,0,5,2,COMPLETE
40,40,0.6309226678102493,2022-03-13 17:34:24.752867,2022-03-13 17:34:59.304236,0 days 00:00:34.551369,1,1,3,1,8,5,COMPLETE
41,41,0.7322793865593977,2022-03-13 17:34:59.305227,2022-03-13 17:35:10.350217,0 days 00:00:11.044990,1,0,1,0,8,5,COMPLETE
42,42,0.6815152948845771,2022-03-13 17:35:10.351227,2022-03-13 17:35:37.490735,0 days 00:00:27.139508,1,0,1,0,7,4,COMPLETE
43,43,0.7322793865593977,2022-03-13 17:35:37.491906,2022-03-13 17:35:48.578416,0 days 00:00:11.086510,1,0,1,0,8,5,COMPLETE
44,44,0.7293152467097084,2022-03-13 17:35:48.579552,2022-03-13 17:35:55.631071,0 days 00:00:07.051519,1,0,1,0,7,6,COMPLETE
45,45,0.7322793865593977,2022-03-13 17:35:55.632159,2022-03-13 17:36:06.627769,0 days 00:00:10.995610,1,0,1,0,8,5,COMPLETE
46,46,-9.346924096085855e+64,2022-03-13 17:36:06.628971,2022-03-13 17:36:26.442149,0 days 00:00:19.813178,1,0,1,0,8,4,COMPLETE
47,47,0.7285363690846023,2022-03-13 17:36:26.443218,2022-03-13 17:36:42.452961,0 days 00:00:16.009743,1,1,2,0,7,6,COMPLETE
48,48,0.2763273358513131,2022-03-13 17:36:42.454005,2022-03-13 17:36:58.376702,0 days 00:00:15.922697,1,0,0,0,6,4,COMPLETE
49,49,0.7236874792123402,2022-03-13 17:36:58.377694,2022-03-13 17:37:04.144687,0 days 00:00:05.766993,1,2,1,0,4,3,COMPLETE
